dataset,image_id,method,candidate_id,prompt_mode,detection_score,stability_score,boundary_score,composite_confidence,candidate_iou
deepcrack,deepcrack_0000,text,0,text,0.95068359375,0.4818593136417961,0.8093956112861633,0.7512731000961694,0.5898070262246413
deepcrack,deepcrack_0000,box,0,box,0.98876953125,0.7107324699762696,0.8183224201202393,0.8488447820217542,0.5909317389138017
deepcrack,deepcrack_0000,point,0,point,0.7661290764808655,0.9877657520711848,0.7962614893913269,0.8512350161650926,0.5924759695061319
deepcrack,deepcrack_0000,point,1,point,0.8360308408737183,0.8810612740577817,0.7360284328460693,0.8267908904812282,0.5448071216617211
deepcrack,deepcrack_0000,point,2,point,0.6517229676246643,0.9578521560539185,0.8609403967857361,0.8111725408651712,0.6026605986346928
deepcrack,deepcrack_0001,text,0,text,0.8095703125,0.25,0.6714748740196228,0.5791968435049057,0.05070569785676947
deepcrack,deepcrack_0001,text,1,text,0.77392578125,0.25,0.6242210268974304,0.5531255692243576,0.3408611863896417
deepcrack,deepcrack_0001,text,2,text,0.712890625,0.25,0.7000839710235596,0.5476772427558899,0.14465937762825903
deepcrack,deepcrack_0001,text,3,text,0.6474609375,0.25,0.6141085624694824,0.5000115156173706,0.2985971943887776
deepcrack,deepcrack_0001,text,4,text,0.63427734375,0.25,0.5482296943664551,0.47826836109161375,0.09496144501954157
deepcrack,deepcrack_0001,text,5,text,0.6025390625,0.25,0.4429624080657959,0.43925622701644895,0.010161956176563989
deepcrack,deepcrack_0001,text,6,text,0.6005859375,0.25,0.6055346727371216,0.4791180431842804,0.21374277896017027
deepcrack,deepcrack_0001,text,7,text,0.57421875,0.25,0.5384076833724976,0.4517894208431244,0.09449238308298712
deepcrack,deepcrack_0001,text,8,text,0.54931640625,0.25,0.5144549012184143,0.4358402878046036,0.0044184134812988085
deepcrack,deepcrack_0001,text,9,text,0.50830078125,0.25,0.4294807016849518,0.39819048792123796,0.010119979134063642
deepcrack,deepcrack_0001,text,10,text,0.47900390625,0.25,0.5078537464141846,0.40606499910354615,0.015861187992335532
deepcrack,deepcrack_0001,text,11,text,0.470703125,0.25,0.5674892663955688,0.4176535665988922,0.11365079365079366
deepcrack,deepcrack_0001,text,12,text,0.435302734375,0.25,0.5079472661018372,0.38860791027545927,0.0
deepcrack,deepcrack_0001,text,13,text,0.412353515625,0.25,0.6733221411705017,0.4207719415426254,0.5384691358024691
deepcrack,deepcrack_0001,text,14,text,0.3974609375,0.25,0.6255548596382141,0.4028730899095535,0.18045506972842612
deepcrack,deepcrack_0001,text,15,text,0.39013671875,0.25,0.6759086847305298,0.4125318586826324,0.07745664739884393
deepcrack,deepcrack_0001,text,16,text,0.376953125,0.25,0.6585158705711365,0.4029102176427841,0.1005213764337852
deepcrack,deepcrack_0001,text,17,text,0.367919921875,0.25,0.4494095742702484,0.3470203623175621,0.0
deepcrack,deepcrack_0001,text,18,text,0.336181640625,0.25,0.43799155950546265,0.3314705461263657,0.018890797050207093
deepcrack,deepcrack_0001,text,19,text,0.327880859375,0.25,0.4731419086456299,0.33693782091140745,0.0042828685258964145
deepcrack,deepcrack_0001,text,20,text,0.3203125,0.25,0.42759057879447937,0.32252264469861985,0.0
deepcrack,deepcrack_0001,text,21,text,0.318603515625,0.25,0.7191053032875061,0.39471773207187655,0.08833922261484099
deepcrack,deepcrack_0001,text,22,text,0.30419921875,0.25,0.5464134216308594,0.34578304290771483,0.11607520067596114
deepcrack,deepcrack_0001,text,23,text,0.300048828125,0.25,0.4442749321460724,0.3185882642865181,0.0
deepcrack,deepcrack_0001,text,24,text,0.29736328125,0.25,0.6617921590805054,0.3718933522701263,0.10033977489912933
deepcrack,deepcrack_0001,text,25,text,0.28271484375,0.25,0.555059552192688,0.339350825548172,0.0
deepcrack,deepcrack_0001,text,26,text,0.278076171875,0.25,0.379666268825531,0.29364703595638275,0.0
deepcrack,deepcrack_0001,text,27,text,0.2724609375,0.25,0.4123385548591614,0.29956901371479033,0.006868131868131868
deepcrack,deepcrack_0001,text,28,text,0.268310546875,0.25,0.6924800276756287,0.36794422566890717,0.3355918283543784
deepcrack,deepcrack_0001,text,29,text,0.259521484375,0.25,0.5779122114181519,0.33578664660453794,0.0490301724137931
deepcrack,deepcrack_0001,text,30,text,0.25634765625,0.25,0.4197876453399658,0.2949859738349915,0.009991673605328892
deepcrack,deepcrack_0001,text,31,text,0.252197265625,0.25,0.3964642882347107,0.28749497830867765,0.0
deepcrack,deepcrack_0001,box,0,box,0.994140625,0.0038208595888936103,0.39528176188468933,0.49781399132728515,0.007677972418934029
deepcrack,deepcrack_0001,point,0,point,0.5818235278129578,0.7813902609214092,0.6892838478088379,0.6785369643998858,0.29283914321713567
deepcrack,deepcrack_0001,point,1,point,0.4880107343196869,0.969743622286782,0.4440827965736389,0.6456352606716582,0.010346989966555184
deepcrack,deepcrack_0001,point,2,point,0.7026199102401733,0.9339587431717558,0.466610848903656,0.7245862364320979,0.010179196267628036
deepcrack,deepcrack_0001,point,3,point,0.4663535952568054,0.9253904562985115,0.45942071080207825,0.6252832755077207,0.00849166755121537
deepcrack,deepcrack_0001,point,4,point,0.32001766562461853,0.3882380408005539,0.4460696876049042,0.3754078024312673,0.009272918861959958
deepcrack,deepcrack_0001,point,5,point,0.5058701634407043,0.7383245070271032,0.6709759831428528,0.6285056386214811,0.18086680761099366
deepcrack,deepcrack_0001,point,6,point,0.281779408454895,0.21314875740314204,0.6509252786636353,0.35004514813896653,0.184303006638032
deepcrack,deepcrack_0001,point,7,point,0.4581293761730194,0.7404711300890201,0.6156538724899292,0.5963301141228471,0.01567701063030173
deepcrack,deepcrack_0001,point,8,point,0.6574689149856567,0.9902238511715756,0.7394389510154724,0.7944256516581822,0.10574761853794284
deepcrack,deepcrack_0001,point,10,point,0.740585207939148,0.8919635464837757,0.7106196284294128,0.786076231552334,0.04975384937676757
deepcrack,deepcrack_0002,text,0,text,0.7041015625,0.25,0.6848732233047485,0.5403589308261871,0.5247937802218641
deepcrack,deepcrack_0002,text,1,text,0.69287109375,0.25,0.6047852635383606,0.5158447533845901,0.15514639299728342
deepcrack,deepcrack_0002,text,2,text,0.6728515625,0.25,0.6600798964500427,0.5216605991125107,0.24779185867895545
deepcrack,deepcrack_0002,text,3,text,0.658203125,0.25,0.7275825142860413,0.5326768785715104,0.7307904411764706
deepcrack,deepcrack_0002,text,4,text,0.63623046875,0.25,0.49348610639572144,0.4653637140989304,0.0
deepcrack,deepcrack_0002,text,5,text,0.58984375,0.25,0.2870006561279297,0.39518766403198247,0.005671272427304599
deepcrack,deepcrack_0002,text,6,text,0.53466796875,0.25,0.4446870684623718,0.412538954615593,0.005163688939378292
deepcrack,deepcrack_0002,text,7,text,0.517578125,0.25,0.3605484068393707,0.3846683517098427,0.02177587749825992
deepcrack,deepcrack_0002,text,8,text,0.49853515625,0.25,0.38936159014701843,0.3842544600367546,0.005661140315406389
deepcrack,deepcrack_0002,text,9,text,0.4921875,0.25,0.7116385698318481,0.4622846424579621,0.04653331951497564
