image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,ablation_fusion_mean,crackforest,0.4142635658914729,0.5858364393773295,0.42198357548957677,0.9577060931899641,0.5858364393773294
crackforest_0001,ablation_fusion_mean,crackforest,0.4332088480321747,0.604529965925035,0.4413227977758267,0.9592875318066157,0.6045299659250349
crackforest_0002,ablation_fusion_mean,crackforest,0.5967064901517598,0.7474216380182002,0.625169147496617,0.9291101055806938,0.7474216380182002
crackforest_0003,ablation_fusion_mean,crackforest,0.3839058524173028,0.5548149850609055,0.39730085582620145,0.9192688499619193,0.5548149850609055
crackforest_0004,ablation_fusion_mean,crackforest,0.41475272422464377,0.5863253940040289,0.7191860465116279,0.4948989797959592,0.5863253940040289
crackforest_0005,ablation_fusion_mean,crackforest,0.420541987286718,0.5920866698068771,0.4441696113074205,0.8877118644067796,0.5920866698068771
crackforest_0006,ablation_fusion_mean,crackforest,0.6814295485636115,0.8105359503711991,0.7269244801167457,0.9158814065732016,0.8105359503711991
crackforest_0007,ablation_fusion_mean,crackforest,0.46827274682727466,0.6378552593026663,0.4951103024789629,0.8962536023054755,0.6378552593026662
crackforest_0008,ablation_fusion_mean,crackforest,0.6130143928643828,0.7600854593439739,0.6810810810810811,0.8598237133920955,0.7600854593439739
crackforest_0009,ablation_fusion_mean,crackforest,0.4200863930885529,0.5916349809885931,0.4339903309780588,0.929140127388535,0.5916349809885932
crackforest_0010,ablation_fusion_mean,crackforest,0.5444794952681388,0.7050653594771242,0.5631321370309951,0.9426542872747132,0.7050653594771241
crackforest_0011,ablation_fusion_mean,crackforest,0.5058043117744611,0.6718061674008811,0.516249153689912,0.9615384615384616,0.6718061674008811
crackforest_0012,ablation_fusion_mean,crackforest,0.4373219373219373,0.6085232903865213,0.4746607112180038,0.8475460122699386,0.6085232903865213
crackforest_0013,ablation_fusion_mean,crackforest,0.3675,0.5374771480804388,0.39107301211942064,0.8590909090909091,0.5374771480804388
crackforest_0014,ablation_fusion_mean,crackforest,0.5478443743427971,0.7078804347826086,0.5673836101279608,0.9408577878103838,0.7078804347826088
crackforest_0015,ablation_fusion_mean,crackforest,0.45003843197540355,0.6207262125629472,0.4684,0.9198743126472899,0.6207262125629472
crackforest_0016,ablation_fusion_mean,crackforest,0.582502543234995,0.7361789663152482,0.6692379616643291,0.818,0.7361789663152482
crackforest_0017,ablation_fusion_mean,crackforest,0.31116389548693585,0.4746376811594203,0.3128214548126378,0.983256351039261,0.47463768115942023
crackforest_0018,ablation_fusion_mean,crackforest,0.6174276335422262,0.7634686346863468,0.633108935128519,0.9614312267657993,0.7634686346863468
crackforest_0019,ablation_fusion_mean,crackforest,0.4856574836694121,0.6537946855285797,0.5020551967116853,0.936986301369863,0.6537946855285797
crackforest_0020,ablation_fusion_mean,crackforest,0.3723264949803579,0.5426208651399491,0.39582366589327145,0.8624873609706775,0.5426208651399492
crackforest_0021,ablation_fusion_mean,crackforest,0.12940730443573867,0.2291596732684346,0.5676274944567627,0.14355811019206505,0.22915967326843456
crackforest_0022,ablation_fusion_mean,crackforest,0.30776537639515555,0.47067368803341203,0.3267776096822995,0.8410123296560675,0.470673688033412
crackforest_0023,ablation_fusion_mean,crackforest,0.3796010115200899,0.55030549898167,0.38413420528859826,0.9698492462311558,0.5503054989816701
