image_id,method,dataset,protocol,iou,dice,precision,recall,f1
crackforest_0000,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.42025316455696204,0.5918003565062389,0.4293566117038474,0.9519713261648746,0.5918003565062389
crackforest_0001,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.4403642773207991,0.6114623699775648,0.45001501050735515,0.9535623409669212,0.6114623699775648
crackforest_0002,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.6193458594293667,0.7649333906317146,0.6679174484052532,0.8949220713926597,0.7649333906317146
crackforest_0003,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.35584,0.5248996931791362,0.3803009575923393,0.8469154607768469,0.5248996931791362
crackforest_0004,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.17452830188679244,0.2971887550200803,0.5794663573085846,0.1998399679935987,0.2971887550200803
crackforest_0005,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.389163996504515,0.5602851750891172,0.39844915001491205,0.943502824858757,0.5602851750891172
crackforest_0006,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.4576432514753474,0.6279221627269166,0.7271627344222625,0.5525166628361297,0.6279221627269166
crackforest_0007,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.4831942789034565,0.6515589842494375,0.5344054837859215,0.8344997941539728,0.6515589842494375
crackforest_0008,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.6221579164944192,0.7670744138634047,0.6949896097898869,0.8558430480523174,0.7670744138634048
crackforest_0009,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.35968722849695917,0.529073482428115,0.36115149752835124,0.9888535031847133,0.5290734824281149
crackforest_0010,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.5531361715957102,0.7122829043732999,0.5773405698778833,0.9295466957946478,0.7122829043732999
crackforest_0011,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.508736559139785,0.6743875278396436,0.5213498622589532,0.9546027742749055,0.6743875278396437
crackforest_0012,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.35104669887278583,0.5196662693682956,0.45723607550687484,0.601840490797546,0.5196662693682956
crackforest_0013,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.2994350282485876,0.4608695652173913,0.44166666666666665,0.4818181818181818,0.4608695652173913
crackforest_0014,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.5633264766382604,0.7206766917293234,0.6173913043478261,0.8654627539503386,0.7206766917293232
crackforest_0015,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.37919463087248323,0.5498783454987834,0.38269704433497537,0.97643362136685,0.5498783454987834
crackforest_0016,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.20984521695001268,0.34689597315436244,0.6522082018927445,0.2362857142857143,0.34689597315436244
crackforest_0017,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.31259150805270863,0.4762967094255438,0.3139705882352941,0.9861431870669746,0.47629670942554375
crackforest_0018,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.6545161290322581,0.7911873659582764,0.6815586160564326,0.9428438661710037,0.7911873659582765
crackforest_0019,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.49038737446197994,0.6580670003850597,0.5072721875927575,0.9364383561643835,0.6580670003850597
crackforest_0020,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.37128011336797356,0.5415087840165346,0.4106583072100313,0.7947421638018201,0.5415087840165346
crackforest_0021,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.12940730443573867,0.2291596732684346,0.5676274944567627,0.14355811019206505,0.22915967326843456
crackforest_0022,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.3178861788617886,0.4824182603331277,0.3531005418422637,0.7611940298507462,0.4824182603331277
crackforest_0023,ablation_no_detection_v2,crackforest,oracle_gt_prompt_gt_alignment,0.3465629053177691,0.5147370448853785,0.35176408636124273,0.95908111988514,0.5147370448853785
