image_id,method,dataset,protocol,iou,dice,precision,recall,f1
crackforest_0000,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.3633378932968536,0.5330122416215132,0.3701226309921962,0.9519713261648746,0.5330122416215132
crackforest_0001,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.41560896570348366,0.5871804654711942,0.4193460490463215,0.9790076335877863,0.5871804654711942
crackforest_0002,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.5692930551230146,0.7255407819011709,0.599344262295082,0.9190548014077425,0.7255407819011709
crackforest_0003,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.35584,0.5248996931791362,0.3803009575923393,0.8469154607768469,0.5248996931791362
crackforest_0004,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.40270225737353765,0.5741806648654998,0.6955036994877632,0.4888977795559112,0.5741806648654999
crackforest_0005,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.389163996504515,0.5602851750891172,0.39844915001491205,0.943502824858757,0.5602851750891172
crackforest_0006,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.7007603186097031,0.8240553485896753,0.7674464710547185,0.8896805332107561,0.8240553485896753
crackforest_0007,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.33043225993617636,0.4967291757522896,0.5280482151135837,0.468917249897077,0.49672917575228953
crackforest_0008,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.6053859202714165,0.754193633601902,0.7042427232363098,0.8117713960762013,0.754193633601902
crackforest_0009,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.35968722849695917,0.529073482428115,0.36115149752835124,0.9888535031847133,0.5290734824281149
crackforest_0010,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.45330641090358403,0.6238277179576242,0.4573465749936338,0.9808847624249044,0.6238277179576242
crackforest_0011,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.45338479809976245,0.6239019407558734,0.4614687216681777,0.9627994955863808,0.6239019407558734
crackforest_0012,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.35104669887278583,0.5196662693682956,0.45723607550687484,0.601840490797546,0.5196662693682956
crackforest_0013,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.2994350282485876,0.4608695652173913,0.44166666666666665,0.4818181818181818,0.4608695652173913
crackforest_0014,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.5633264766382604,0.7206766917293234,0.6173913043478261,0.8654627539503386,0.7206766917293232
crackforest_0015,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.37919463087248323,0.5498783454987834,0.38269704433497537,0.97643362136685,0.5498783454987834
crackforest_0016,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.20984521695001268,0.34689597315436244,0.6522082018927445,0.2362857142857143,0.34689597315436244
crackforest_0017,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.3398299813394153,0.5072732900030951,0.34651162790697676,0.9463048498845266,0.5072732900030951
crackforest_0018,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.45129391962970755,0.6219193969266454,0.45195954487989887,0.9967472118959108,0.6219193969266454
crackforest_0019,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.42829268292682926,0.5997267759562842,0.43562391466137435,0.9621917808219178,0.5997267759562842
crackforest_0020,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.324588163514338,0.4900967296176877,0.4500846023688663,0.537917087967644,0.49009672961768774
crackforest_0021,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.12940730443573867,0.2291596732684346,0.5676274944567627,0.14355811019206505,0.22915967326843456
crackforest_0022,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.31152491192752896,0.4750575594781274,0.33723780986107327,0.8033744321868916,0.4750575594781274
crackforest_0023,point+text,crackforest,oracle_gt_prompt_gt_alignment,0.3465629053177691,0.5147370448853785,0.35176408636124273,0.95908111988514,0.5147370448853785
