image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,point,crackforest,0.009086172083631864,0.01800871389381959,0.009086172083631864,1.0,0.01800871389381959
crackforest_0001,point,crackforest,0.36462264150943396,0.5343933632907016,0.36687233032747985,0.9834605597964376,0.5343933632907016
crackforest_0002,point,crackforest,0.012954700882534927,0.025578045832154523,0.012954700882534927,1.0,0.02557804583215452
crackforest_0003,point,crackforest,0.00863643256001002,0.017124966501735374,0.008636603375527427,0.9977151561309977,0.017124966501735374
crackforest_0004,point,crackforest,0.053738317757009345,0.10199556541019955,0.06870918438238155,0.1978395679135827,0.10199556541019955
crackforest_0005,point,crackforest,0.38474770642201833,0.5556935817805383,0.393087287639133,0.9477401129943502,0.5556935817805383
crackforest_0006,point,crackforest,0.012086600120619838,0.02388451762760097,0.01260946608798377,0.22569524247299472,0.02388451762760097
crackforest_0007,point,crackforest,0.0158157584597053,0.03113902954938786,0.0158157584597053,1.0,0.031139029549387853
crackforest_0008,point,crackforest,0.022901757516165373,0.04477801968348548,0.022901757516165373,1.0,0.04477801968348548
crackforest_0009,point,crackforest,0.3385118560915781,0.5058032987171656,0.33980848153214777,0.9888535031847133,0.5058032987171656
crackforest_0010,point,crackforest,0.4453551912568306,0.6162570888468809,0.4495987963891675,0.9792463134898962,0.6162570888468809
crackforest_0011,point,crackforest,0.009573462804262113,0.018965361426339776,0.009580768026713973,0.9262295081967213,0.01896536142633978
crackforest_0012,point,crackforest,0.34178552562070785,0.5094488188976378,0.4451834862385321,0.595398773006135,0.5094488188976377
crackforest_0013,point,crackforest,0.010046579596310166,0.01989329957500678,0.010046579596310166,1.0,0.019893299575006785
crackforest_0014,point,crackforest,0.008949457448574576,0.01774015017799982,0.009174028063552964,0.2677200902934537,0.017740150177999823
crackforest_0015,point,crackforest,0.3433784904617086,0.5112162996501338,0.3463469046291132,0.9756480754124116,0.5112162996501337
crackforest_0016,point,crackforest,0.29627851140456185,0.45712168920170404,0.6498156924697209,0.3525714285714286,0.45712168920170404
crackforest_0017,point,crackforest,0.011277436662087107,0.022303348721613773,0.011277436662087107,1.0,0.022303348721613773
crackforest_0018,point,crackforest,0.014013942276369797,0.02764053173649617,0.01401403357895354,0.9995353159851301,0.027640531736496162
crackforest_0019,point,crackforest,0.026400408702969107,0.051442708867059976,0.026427411106431622,0.9627397260273972,0.051442708867059976
crackforest_0020,point,crackforest,0.006438969764837626,0.012795549374130737,0.006438969764837626,1.0,0.012795549374130735
crackforest_0021,point,crackforest,0.052213974916815974,0.09924592556555582,0.06336633663366337,0.22879573811860368,0.09924592556555581
crackforest_0022,point,crackforest,0.010074955040102916,0.019948925552169365,0.0100753518168452,0.9961064243997404,0.01994892555216936
crackforest_0023,point,crackforest,0.0,0.0,0.0,0.0,0.0
