image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,unet,crackforest,0.5141294439380127,0.679108970499699,0.5853658536585366,0.8086021505376344,0.6791089704996989
crackforest_0001,unet,crackforest,0.5563314711359404,0.7149267125336524,0.6747600225861096,0.760178117048346,0.7149267125336524
crackforest_0002,unet,crackforest,0.4697986577181208,0.639269406392694,0.6451612903225806,0.6334841628959276,0.6392694063926941
crackforest_0003,unet,crackforest,0.4469739033870072,0.6178050652340752,0.6225831399845321,0.6130997715156131,0.6178050652340752
crackforest_0004,unet,crackforest,0.4956407303832867,0.6627804663440388,0.7361348644026386,0.6027205441088218,0.6627804663440388
crackforest_0005,unet,crackforest,0.47612790188348664,0.6451038575667656,0.5562947799385876,0.7676553672316384,0.6451038575667656
crackforest_0006,unet,crackforest,0.5580302411115652,0.716327868852459,0.8341478313989005,0.627671799586302,0.7163278688524591
crackforest_0007,unet,crackforest,0.41824966078697423,0.5898110499880411,0.7037671232876712,0.507616303005352,0.5898110499880411
crackforest_0008,unet,crackforest,0.45914867863627196,0.6293377575003456,0.61248654467169,0.6471424509525163,0.6293377575003456
crackforest_0009,unet,crackforest,0.5207603801900951,0.6848684210526316,0.5835201793721974,0.8288216560509554,0.6848684210526316
crackforest_0010,unet,crackforest,0.6316242998707454,0.7742276208080274,0.7494887525562373,0.8006553795740032,0.7742276208080274
crackforest_0011,unet,crackforest,0.5384976525821596,0.7000305157155935,0.6782968657599053,0.723203026481715,0.7000305157155935
crackforest_0012,unet,crackforest,0.423728813559322,0.5952380952380952,0.6258457374830853,0.5674846625766872,0.5952380952380952
crackforest_0013,unet,crackforest,0.34851811196487376,0.5168905168905169,0.6924754634678298,0.41233766233766234,0.5168905168905168
crackforest_0014,unet,crackforest,0.6095350669818755,0.7574051407588739,0.8272727272727273,0.6984198645598194,0.7574051407588739
crackforest_0015,unet,crackforest,0.4267337807606264,0.5981967855742846,0.5970266040688575,0.5993715632364494,0.5981967855742846
crackforest_0016,unet,crackforest,0.4640163098878695,0.6338950006962819,0.6183102417821245,0.6502857142857142,0.6338950006962819
crackforest_0017,unet,crackforest,0.4755688176053711,0.6445904954499494,0.5732913669064749,0.7361431870669746,0.6445904954499495
crackforest_0018,unet,crackforest,0.4411764705882353,0.6122448979591837,0.8215962441314554,0.4879182156133829,0.6122448979591837
crackforest_0019,unet,crackforest,0.47175843694493785,0.6410813420226888,0.5729076790336497,0.7276712328767123,0.6410813420226888
crackforest_0020,unet,crackforest,0.25806451612903225,0.41025641025641024,0.48418156808803303,0.35591506572295245,0.41025641025641024
crackforest_0021,unet,crackforest,0.32382075471698113,0.4892214502048815,0.670901539213291,0.3849712603392682,0.48922145020488156
crackforest_0022,unet,crackforest,0.30875166592625497,0.47182620502376105,0.49466192170818507,0.4510058403634004,0.4718262050237611
crackforest_0023,unet,crackforest,0.4665744582757031,0.6362779000314367,0.5659955257270693,0.7264895908111989,0.6362779000314367
