image_id,method,dataset,protocol,iou,dice,precision,recall,f1
deepcrack_0000,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5890388413429888,0.7413775245986536,0.6093989443214711,0.9463246959280803,0.7413775245986535
deepcrack_0001,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6030261348005502,0.7523597048223786,0.7973808657693707,0.7121507472384665,0.7523597048223785
deepcrack_0002,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7195758822598513,0.8369225105834713,0.7428524750857703,0.9582718651211802,0.8369225105834713
deepcrack_0003,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4958076723306374,0.6629297088149214,0.5915368271954674,0.7539207943134378,0.6629297088149213
deepcrack_0004,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6481802426343154,0.786540483701367,0.8411764705882353,0.7385690414704542,0.786540483701367
deepcrack_0005,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6054179290679024,0.7542184724689165,0.7794860027535567,0.7305376344086022,0.7542184724689166
deepcrack_0006,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5661697036628014,0.7229991773416382,0.7442535688361964,0.7029250457038391,0.7229991773416383
deepcrack_0007,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7205907031381105,0.8376085048278553,0.8596596596596596,0.8166603271205781,0.8376085048278552
deepcrack_0008,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7430841671571513,0.8526084754347459,0.9046936581870297,0.8061941251596424,0.8526084754347459
deepcrack_0009,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6574553828439839,0.7933310177144842,0.7862306368330465,0.8005608131791097,0.7933310177144842
deepcrack_0010,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4281757754800591,0.599612152553329,0.7294746775715634,0.5089991220368745,0.599612152553329
deepcrack_0011,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7285589899869395,0.8429668807454981,0.7957679505468378,0.8961178045515394,0.842966880745498
deepcrack_0012,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.47656682452795374,0.6455066125169218,0.9808848661307678,0.481034268686367,0.6455066125169218
deepcrack_0013,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4661803243855797,0.6359113086324332,0.9384088964927289,0.48089427924307737,0.6359113086324333
deepcrack_0014,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.282693075053506,0.4407805429864253,0.506894757382594,0.3899229460622436,0.4407805429864254
deepcrack_0015,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.2444076222038111,0.39280958721704395,0.4872372372372372,0.32904076252281483,0.39280958721704395
deepcrack_0016,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.35690521696043037,0.526057697323804,0.5856661633174585,0.4774621212121212,0.526057697323804
deepcrack_0017,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.23239949411719618,0.37714960972727557,0.9041300134188162,0.2382711198428291,0.37714960972727557
deepcrack_0018,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4807798519827681,0.64936033717504,0.8455560951918407,0.527064664567692,0.6493603371750402
deepcrack_0019,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4140683774972833,0.5856412378447078,0.9800178059155208,0.41759399763952115,0.5856412378447078
deepcrack_0020,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6095137655417406,0.7573886953822809,0.9510653040013858,0.6292476075869577,0.7573886953822808
deepcrack_0021,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7129646754207509,0.8324335996545023,0.9336401065633325,0.7510227936879018,0.8324335996545024
deepcrack_0022,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5229159856162144,0.6867299188597432,0.9709845817652057,0.5312167906482466,0.6867299188597432
deepcrack_0023,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6434293401822295,0.7830325581395349,0.9382914214374889,0.6718600344805568,0.7830325581395349
deepcrack_0024,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.48204649923389514,0.6505146761361082,0.9291217257318952,0.5004495469949513,0.6505146761361082
deepcrack_0025,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.46005009933488816,0.6301839910075134,0.7675457558726041,0.5345242874347651,0.6301839910075133
deepcrack_0026,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6344947735191637,0.7763803027073118,0.9118678017025539,0.6759465478841871,0.7763803027073118
deepcrack_0027,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5125184094256259,0.6777020447906524,0.5368529310935893,0.9187444998533294,0.6777020447906524
deepcrack_0028,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.562489126022154,0.7199910919753545,0.688604898828541,0.7543750486116513,0.7199910919753546
deepcrack_0029,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6385459103729239,0.7794055770187048,0.9912434325744308,0.6421682949889694,0.7794055770187047
deepcrack_0030,ampf_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6075825979889186,0.7558959629806925,0.9999155690645052,0.6076137704581602,0.7558959629806925
