image_id,method,dataset,protocol,iou,dice,precision,recall,f1
deepcrack_0000,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.5431238885595732,0.703927782579468,0.5527069823556024,0.9690639873083025,0.703927782579468
deepcrack_0001,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.6030261348005502,0.7523597048223786,0.7973808657693707,0.7121507472384665,0.7523597048223785
deepcrack_0002,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.7195758822598513,0.8369225105834713,0.7428524750857703,0.9582718651211802,0.8369225105834713
deepcrack_0003,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.4958076723306374,0.6629297088149214,0.5915368271954674,0.7539207943134378,0.6629297088149213
deepcrack_0004,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.4085760517799353,0.5801263641585296,0.7843644835619984,0.46027646969466807,0.5801263641585296
deepcrack_0005,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.682363315696649,0.8111961421532655,0.7913683779914092,0.8320430107526882,0.8111961421532656
deepcrack_0006,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.64056875449964,0.7809105869445968,0.7510023211648027,0.8132998171846435,0.7809105869445968
deepcrack_0007,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.7594339622641509,0.8632707774798928,0.8142279163857047,0.9186002282236592,0.8632707774798928
deepcrack_0008,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.810110267793212,0.8950949367088608,0.8872333751568381,0.9030970625798213,0.8950949367088608
deepcrack_0009,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.6315214422288992,0.7741503432111166,0.7410256410256411,0.8103750438135296,0.7741503432111166
deepcrack_0010,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.4281757754800591,0.599612152553329,0.7294746775715634,0.5089991220368745,0.599612152553329
deepcrack_0011,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.7043731778425656,0.8265480670543962,0.7199046483909416,0.970281124497992,0.8265480670543962
deepcrack_0012,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.3362591813721008,0.5032843718638811,0.9488304093567251,0.34246958033275393,0.5032843718638811
deepcrack_0013,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.5445945945945946,0.705161854768154,0.9535491905354919,0.5594359611310002,0.705161854768154
deepcrack_0014,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.28087678415380135,0.43856956052078006,0.5077672459189047,0.3859701791253878,0.43856956052078006
deepcrack_0015,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.295532387368738,0.45623311350628976,0.5342586922501191,0.3980936929628879,0.4562331135062898
deepcrack_0016,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.3477605663419079,0.5160568947135762,0.5723596931418354,0.46983901515151516,0.5160568947135763
deepcrack_0017,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.20497061422041254,0.3402084860849884,0.9015036323703328,0.20966601178781924,0.3402084860849884
deepcrack_0018,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.28689865207828097,0.44587606275747216,0.8072040622024754,0.3080043594090579,0.44587606275747227
deepcrack_0019,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.3301740406793877,0.49643735418374424,0.9848636477358018,0.3318580340583375,0.4964373541837442
deepcrack_0020,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.4779695662048603,0.6467921628889742,0.9812332439678284,0.48237923328176036,0.6467921628889742
deepcrack_0021,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.734651040755641,0.8470303519209438,0.8779264214046822,0.8182349503214494,0.8470303519209439
deepcrack_0022,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.32617617124659376,0.4919047383274744,0.9662517020035013,0.3299349096705632,0.4919047383274744
deepcrack_0023,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.5218848829854522,0.6858401562694817,0.9822619047619048,0.5268501372836983,0.6858401562694818
deepcrack_0024,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.48204649923389514,0.6505146761361082,0.9291217257318952,0.5004495469949513,0.6505146761361082
deepcrack_0025,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.46005009933488816,0.6301839910075134,0.7675457558726041,0.5345242874347651,0.6301839910075133
deepcrack_0026,point+text,deepcrack,oracle_gt_prompt_gt_alignment,0.3309278350515464,0.4972889233152595,0.816793893129771,0.3574610244988864,0.4972889233152595
