image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,point,deepcrack,0.028291006478679187,0.05502529206310972,0.02831884462213131,0.9664198836594394,0.05502529206310972
deepcrack_0001,point,deepcrack,0.18643139402950037,0.31427252341379763,0.22593646277856805,0.5160277236300628,0.31427252341379763
deepcrack_0002,point,deepcrack,0.02672683930253571,0.052062220016945264,0.02724124248673698,0.5859852476290832,0.05206222001694527
deepcrack_0003,point,deepcrack,0.042440699395141016,0.08142563777443941,0.042440902647408144,0.9998871713866636,0.08142563777443941
deepcrack_0004,point,deepcrack,0.035377950062706644,0.06833823351282306,0.03683960584114923,0.4713656387665198,0.06833823351282305
deepcrack_0005,point,deepcrack,0.0006521266574885878,0.0013034033309196234,0.0007116030836133623,0.007741935483870968,0.0013034033309196234
deepcrack_0006,point,deepcrack,0.00021641164040023424,0.00043272963307072586,0.00022912595188355012,0.0038848263254113347,0.00043272963307072586
deepcrack_0007,point,deepcrack,0.025255782168878794,0.049267280630110495,0.02525699765140723,0.99809813617345,0.049267280630110495
deepcrack_0008,point,deepcrack,0.8061805753346625,0.8926910037057478,0.8819130705717402,0.9037356321839081,0.8926910037057479
deepcrack_0009,point,deepcrack,0.030038432469808803,0.05832487705877761,0.03005486460830531,0.982124079915878,0.05832487705877761
deepcrack_0010,point,deepcrack,0.008486366165831942,0.016829907573458407,0.008759019277021933,0.21422300263388938,0.016829907573458407
deepcrack_0011,point,deepcrack,0.6957757920389926,0.8205988023952095,0.7423618634886241,0.9172690763052209,0.8205988023952097
deepcrack_0012,point,deepcrack,0.08197849007183204,0.15153441741044138,0.12500504296607093,0.1923578346163397,0.15153441741044135
deepcrack_0013,point,deepcrack,0.012409486829677826,0.024514758091684158,0.013900862068965517,0.10367502009205816,0.024514758091684158
deepcrack_0014,point,deepcrack,0.05491025871901074,0.10410413258410982,0.0727305253533165,0.1830781547082958,0.10410413258410983
deepcrack_0015,point,deepcrack,0.028610980241614174,0.05563032242742273,0.03130688254986571,0.24939160413709185,0.055630322427422725
deepcrack_0016,point,deepcrack,0.3522885849846497,0.5210257468654869,0.572384083437252,0.478125,0.5210257468654867
deepcrack_0017,point,deepcrack,0.0866824495849853,0.15953593364481075,0.11977298703346076,0.2388212180746562,0.15953593364481075
deepcrack_0018,point,deepcrack,0.07263560825319765,0.1354338932892332,0.1300206116650883,0.14131751029304918,0.1354338932892332
deepcrack_0019,point,deepcrack,0.009081966771320388,0.018000454017386196,0.01317358247170807,0.028410048895633113,0.018000454017386196
deepcrack_0020,point,deepcrack,0.002143172315256445,0.00427717790124751,0.0024356464014518363,0.017534811758638472,0.00427717790124751
deepcrack_0021,point,deepcrack,0.7334620108791016,0.8462394979248912,0.8807416772018541,0.8143385934151568,0.8462394979248912
deepcrack_0022,point,deepcrack,0.05401511513282613,0.10249400479616307,0.18441491197790819,0.07096838469713071,0.10249400479616307
deepcrack_0023,point,deepcrack,0.015868963214643438,0.031242145964233928,0.022404614019520853,0.05159312942979376,0.031242145964233928
deepcrack_0024,point,deepcrack,0.005703262601694205,0.011341839713118172,0.006677386490566964,0.03762362542361159,0.011341839713118173
deepcrack_0025,point,deepcrack,0.0027326526848731746,0.005450411288704608,0.0029728250957505014,0.032717784022480934,0.005450411288704608
deepcrack_0026,point,deepcrack,0.03156190990018883,0.06119246861924686,0.03787299158377965,0.15924276169265034,0.06119246861924687
deepcrack_0027,point,deepcrack,0.02979920900517189,0.057873823837870576,0.030471301913205788,0.5746553241419771,0.05787382383787058
deepcrack_0028,point,deepcrack,0.004371494556252062,0.008704935534203827,0.005125583708656848,0.02885587617640196,0.008704935534203827
deepcrack_0029,point,deepcrack,0.018188099722497745,0.03572640404548987,0.021617039313341104,0.10286794831389852,0.03572640404548987
deepcrack_0030,point,deepcrack,0.6180391754691826,0.7639359847884646,0.9990881962864722,0.6183879739366888,0.7639359847884647
deepcrack_0031,point,deepcrack,0.9239663305892147,0.9604807692307692,0.9927449811170741,0.9302477183833116,0.9604807692307692
deepcrack_0032,point,deepcrack,0.05005053323880349,0.09532976110097542,0.050069415102311825,0.9925216871073885,0.09532976110097542
deepcrack_0033,point,deepcrack,0.7720670391061453,0.8713745271122321,0.787785016286645,0.9748085449415558,0.8713745271122321
deepcrack_0034,point,deepcrack,0.6911552866609046,0.8173764906303237,0.7011544644161918,0.9797835409434348,0.8173764906303237
deepcrack_0035,point,deepcrack,0.4322307382008875,0.6035769609914097,0.43525946988930636,0.9841561423650976,0.6035769609914097
deepcrack_0036,point,deepcrack,0.005573000650654899,0.01108422888651325,0.016529619063601276,0.008337565600135433,0.01108422888651325
deepcrack_0037,point,deepcrack,0.04745659027810456,0.09061299669803904,0.08003650648783778,0.1044103944507713,0.09061299669803904
deepcrack_0038,point,deepcrack,0.07142474199169012,0.13332666157945433,0.1341506394119424,0.13251274400099466,0.13332666157945436
deepcrack_0039,point,deepcrack,0.06384289375123202,0.12002316155182398,0.7040760869565217,0.06560324091657171,0.12002316155182396
deepcrack_0040,point,deepcrack,0.6743924392439244,0.8055368902029297,0.7070063694267515,0.9359775140537164,0.8055368902029297
deepcrack_0041,point,deepcrack,0.4843828574621445,0.6526387111345329,0.7923407366785485,0.554816,0.6526387111345329
deepcrack_0042,point,deepcrack,0.08033205545116609,0.1487173412023176,0.09048614432962669,0.4172029366446116,0.14871734120231764
deepcrack_0043,point,deepcrack,0.001947665324493153,0.00388775859637814,0.002248054791967572,0.014366532678278993,0.00388775859637814
deepcrack_0044,point,deepcrack,0.13711416632969403,0.2411616535783079,0.14546429529001698,0.7048938934603725,0.24116165357830788
deepcrack_0045,point,deepcrack,0.7918401332223147,0.8838289962825279,0.8019902175746332,0.9842682674394535,0.8838289962825278
deepcrack_0046,point,deepcrack,0.00314675408774486,0.006273766176129429,0.0032250872380912878,0.11469666236400516,0.00627376617612943
deepcrack_0047,point,deepcrack,0.011615733036511313,0.02296471408495201,0.011787072243346007,0.4441635061104088,0.02296471408495201
deepcrack_0048,point,deepcrack,0.4759013980868286,0.6448959242178736,0.47669062096922793,0.9965331278890601,0.6448959242178737
deepcrack_0049,point,deepcrack,0.059019370460048425,0.11146041726207488,0.06547774502854158,0.37436006825938567,0.11146041726207487
deepcrack_0050,point,deepcrack,0.3266293663995161,0.4924199247691782,0.6269956458635704,0.40540540540540543,0.4924199247691782
deepcrack_0051,point,deepcrack,0.0443923084000368,0.08501079152534907,0.04463872698677029,0.8894009216589862,0.08501079152534907
deepcrack_0052,point,deepcrack,0.6693042291950887,0.8018960444589736,0.6707683893902106,0.9967492889069484,0.8018960444589734
deepcrack_0053,point,deepcrack,0.7778295295761528,0.8750327482315955,0.7866227037211493,0.9858323494687131,0.8750327482315955
deepcrack_0054,point,deepcrack,0.00048824067148674476,0.0009760048177259087,0.0005070720365954967,0.012976256212037547,0.0009760048177259087
deepcrack_0055,point,deepcrack,0.04160674115868274,0.07988953894902683,0.045499455579303946,0.3271949539621547,0.07988953894902683
deepcrack_0056,point,deepcrack,0.058631455331824824,0.11076839826839827,0.06672534063498273,0.3258516396052213,0.11076839826839825
deepcrack_0057,point,deepcrack,0.45690030474532,0.6272224712386075,0.47661217075386014,0.9169943206640454,0.6272224712386075
deepcrack_0058,point,deepcrack,0.38271604938271603,0.5535714285714286,0.3904709748083242,0.9506666666666667,0.5535714285714286
deepcrack_0059,point,deepcrack,0.05230463709580709,0.0994096866096866,0.052312667015289846,0.9970738844184345,0.0994096866096866
deepcrack_0060,point,deepcrack,0.02000543903185233,0.03922614187398977,0.023062604095228766,0.13112745098039216,0.039226141873989775
deepcrack_0061,point,deepcrack,0.0,0.0,0.0,0.0,0.0
deepcrack_0062,point,deepcrack,0.04938508194914889,0.09412194398155546,0.04962736148824311,0.9100379623907477,0.09412194398155545
deepcrack_0063,point,deepcrack,0.027367309501729494,0.053276582286821195,0.028674572328293003,0.37511597699016513,0.0532765822868212
deepcrack_0064,point,deepcrack,0.012635633425712809,0.024955932832359216,0.012979284611425631,0.3230584467574059,0.024955932832359223
deepcrack_0065,point,deepcrack,0.04126745874716128,0.07926389785927569,0.04322260560648441,0.47707042253521126,0.07926389785927569
deepcrack_0066,point,deepcrack,0.33274826789838335,0.49934151244194913,0.5025812752895215,0.49614325068870524,0.49934151244194913
deepcrack_0067,point,deepcrack,0.15224661713054308,0.26426047144262416,0.15343176658064334,0.9517144856543037,0.26426047144262416
deepcrack_0068,point,deepcrack,0.60377107953791,0.7529392283490645,0.6083757024351084,0.987619461337967,0.7529392283490643
deepcrack_0069,point,deepcrack,0.5622527344659064,0.7197974080143006,0.5725118483412323,0.9691135178499799,0.7197974080143006
deepcrack_0070,point,deepcrack,0.6518414290958032,0.7892300285174623,0.6657710572356911,0.9689006092570701,0.7892300285174623
deepcrack_0071,point,deepcrack,0.6573645618281484,0.7932648941196684,0.6629334482015938,0.987382378100941,0.7932648941196684
deepcrack_0072,point,deepcrack,0.5703916066853727,0.7264323169547485,0.5718566536203522,0.9955285851165762,0.7264323169547485
deepcrack_0073,point,deepcrack,0.45937844120885846,0.6295535527143157,0.46115580666953265,0.9916798732171157,0.6295535527143156
deepcrack_0074,point,deepcrack,0.6589120470466142,0.7943905744969242,0.6688026685393258,0.9780487804878049,0.7943905744969242
deepcrack_0075,point,deepcrack,0.5626669980736967,0.7201367902020042,0.5631919392959324,0.9983461962513782,0.7201367902020042
deepcrack_0076,point,deepcrack,0.0409385897171472,0.07865706992046742,0.04094369582215997,0.9969629716154654,0.07865706992046743
deepcrack_0077,point,deepcrack,0.5623885918003565,0.7199087278950371,0.5654755236921698,0.9903865018638415,0.719908727895037
deepcrack_0078,point,deepcrack,0.5445993031358886,0.7051658019399955,0.5482286916871273,0.9879898862199747,0.7051658019399955
deepcrack_0079,point,deepcrack,0.6197828709288299,0.7652666070896634,0.6209813874788495,0.996895615056267,0.7652666070896633
deepcrack_0080,point,deepcrack,0.7518993974325386,0.8583819350979512,0.8343023255813954,0.883892824145365,0.8583819350979512
deepcrack_0081,point,deepcrack,0.0007979290956494308,0.0015945858248736847,0.0008662979863608433,0.010009310986964618,0.0015945858248736847
deepcrack_0082,point,deepcrack,0.010010116094224192,0.01982181353377721,0.010937417758829412,0.10560016261815225,0.01982181353377721
deepcrack_0083,point,deepcrack,0.0063510439025958884,0.012621925402823158,0.00679318617629608,0.08890389376547378,0.012621925402823156
deepcrack_0084,point,deepcrack,0.737330910559257,0.8488088320743754,0.8976281184711811,0.8050259010250193,0.8488088320743754
deepcrack_0085,point,deepcrack,0.004124118105723975,0.008214359223845967,0.004602111310291327,0.03819051761635494,0.008214359223845967
deepcrack_0086,point,deepcrack,0.0,0.0,0.0,0.0,0.0
deepcrack_0087,point,deepcrack,0.591792656587473,0.7435549525101763,0.8961569910057237,0.6353623188405797,0.7435549525101763
deepcrack_0088,point,deepcrack,0.002517430002645435,0.005022216925722263,0.0026532117352904144,0.04688493324856961,0.005022216925722264
deepcrack_0089,point,deepcrack,0.1850917045263335,0.31236688910975435,0.20261558298029103,0.6815365551425031,0.31236688910975435
deepcrack_0090,point,deepcrack,0.2010688836104513,0.33481657272817167,0.22310074454767082,0.6706278470984354,0.33481657272817167
deepcrack_0091,point,deepcrack,0.7307005003573981,0.8443985544656686,0.9615520282186949,0.7526921306948918,0.8443985544656686
deepcrack_0092,point,deepcrack,0.6353944562899787,0.7770534550195567,0.9670614960246633,0.6494497112346083,0.7770534550195567
deepcrack_0093,point,deepcrack,0.5661033317238049,0.7229450576555466,0.9748877432230167,0.5744805958447667,0.7229450576555466
deepcrack_0094,point,deepcrack,0.7112792622369355,0.8312836810833218,0.9186135287830203,0.7591167192429022,0.8312836810833218
deepcrack_0095,point,deepcrack,0.009043563938348934,0.017925021795989537,0.009799435674521467,0.10494079216006533,0.017925021795989537
deepcrack_0096,point,deepcrack,0.2370514064015519,0.3832523129998432,0.2559774964838256,0.7622527178756014,0.3832523129998432
deepcrack_0097,point,deepcrack,0.11522102488143608,0.20663352341960325,0.11937209629733915,0.7681645225584345,0.20663352341960325
deepcrack_0098,point,deepcrack,0.012188029433332491,0.02408254015838517,0.013933656139336562,0.08865998344523131,0.024082540158385173
deepcrack_0099,point,deepcrack,0.04971904629829373,0.09472829224852476,0.05007682239799693,0.8743564267003884,0.09472829224852478
deepcrack_0100,point,deepcrack,0.014675444994185015,0.028926382453788695,0.016225345973629728,0.13317234594401217,0.028926382453788698
deepcrack_0101,point,deepcrack,0.05437128430653962,0.10313498691743987,0.054560127487435134,0.9401513817989791,0.10313498691743987
deepcrack_0102,point,deepcrack,0.01812333517615721,0.0356014532817313,0.019143378917862906,0.25380067567567566,0.0356014532817313
