image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,text,deepcrack,0.5898070262246413,0.7419856831621537,0.6105514768652894,0.9455314648334214,0.7419856831621537
deepcrack_0001,text,deepcrack,0.6293851782767774,0.7725431489961254,0.6509125983083544,0.950075806800953,0.7725431489961254
deepcrack_0002,text,deepcrack,0.613688469318948,0.7606034014458234,0.63021951388408,0.9590094836670179,0.7606034014458233
deepcrack_0003,text,deepcrack,0.4629277566539924,0.6328784925276153,0.4785549132947977,0.9341080898115762,0.6328784925276153
deepcrack_0004,text,deepcrack,0.6397345412409143,0.7802903764615187,0.6760547701213403,0.9225277229226796,0.7802903764615187
deepcrack_0005,text,deepcrack,0.6468799768350948,0.7855824175824175,0.6643866171003717,0.9608602150537634,0.7855824175824176
deepcrack_0006,text,deepcrack,0.6318215613382899,0.7743757973391653,0.6439830251591392,0.9709780621572212,0.7743757973391653
deepcrack_0007,text,deepcrack,0.7054263565891473,0.8272727272727273,0.8609625668449198,0.7961201977938379,0.8272727272727273
deepcrack_0008,text,deepcrack,0.7312177121771217,0.8447437974251855,0.9064958828911254,0.7908684546615581,0.8447437974251855
deepcrack_0009,text,deepcrack,0.6261915569677712,0.77013258897418,0.6398423005565863,0.9670522257273045,0.7701325889741801
deepcrack_0010,text,deepcrack,0.5756871325037605,0.7307124880673436,0.6042773073058705,0.9240561896400351,0.7307124880673435
deepcrack_0011,text,deepcrack,0.7234913793103448,0.8395648368138052,0.7876583763491318,0.8987951807228916,0.8395648368138052
deepcrack_0012,text,deepcrack,0.7265539723279346,0.8416232379325075,0.9361055152229275,0.7644648621802831,0.8416232379325075
deepcrack_0013,text,deepcrack,0.7424205967276227,0.8521715114271905,0.8077753779697624,0.9017315701030174,0.8521715114271905
deepcrack_0014,text,deepcrack,0.7521026809181707,0.8585143885791434,0.8579781120383789,0.8590513359351546,0.8585143885791435
deepcrack_0015,text,deepcrack,0.7951887105175924,0.885910997388483,0.9233984052790761,0.8513486108294464,0.8859109973884829
deepcrack_0016,text,deepcrack,0.7180784383954155,0.8359087947882736,0.9295276731382208,0.7594223484848485,0.8359087947882736
deepcrack_0017,text,deepcrack,0.7242972660762418,0.8401071907101385,0.8690776209677419,0.8130058939096267,0.8401071907101384
deepcrack_0018,text,deepcrack,0.6747381242387333,0.8057834409728283,0.7755067756747676,0.8385202228142408,0.8057834409728283
deepcrack_0019,text,deepcrack,0.6956063797773097,0.8204809654805217,0.8660547021356313,0.7794638340920587,0.8204809654805219
deepcrack_0020,text,deepcrack,0.7057288893621553,0.8274807254112433,0.9087481146304676,0.7595553263423299,0.8274807254112432
deepcrack_0021,text,deepcrack,0.7151492606714406,0.8339207287317681,0.9404427051485875,0.7490746152347555,0.8339207287317681
deepcrack_0022,text,deepcrack,0.7426354182834084,0.8523130087817739,0.9191992930418411,0.7945005313496281,0.8523130087817737
deepcrack_0023,text,deepcrack,0.7661768782922096,0.8676105861300348,0.8533843873517787,0.8823191367090224,0.8676105861300349
deepcrack_0024,text,deepcrack,0.6872211697121555,0.8146189510286873,0.8551981139250133,0.7777163012656477,0.8146189510286874
deepcrack_0025,text,deepcrack,0.6737892848787336,0.8051064622839305,0.7513696843203757,0.8671216378964272,0.8051064622839306
deepcrack_0026,text,deepcrack,0.7083739996096038,0.8292961608775137,0.770324771810656,0.8980450383568424,0.8292961608775138
deepcrack_0027,text,deepcrack,0.48966613672496023,0.6574172892209178,0.4911568570600174,0.9938398357289527,0.6574172892209178
deepcrack_0028,text,deepcrack,0.6660022148394241,0.7995214038819463,0.6980442226220185,0.9355215057945089,0.7995214038819463
