image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,ablation_fusion_max,crackforest,0.3701806416823942,0.5403384494293585,0.3723894765391917,0.9842293906810036,0.5403384494293585
crackforest_0001,ablation_fusion_max,crackforest,0.3749696233292831,0.5454224107458466,0.3776309348996574,0.9815521628498728,0.5454224107458466
crackforest_0002,ablation_fusion_max,crackforest,0.5970293832741362,0.7476748887990295,0.62529590801488,0.9296128707893414,0.7476748887990297
crackforest_0003,ablation_fusion_max,crackforest,0.3839796567069294,0.5548920532843362,0.3972377507398882,0.92003046458492,0.5548920532843363
crackforest_0004,ablation_fusion_max,crackforest,0.4311757819033283,0.6025476218300806,0.7245643620011242,0.5157031406281256,0.6025476218300806
crackforest_0005,ablation_fusion_max,crackforest,0.3789444289304663,0.5496152288375861,0.3852924474730267,0.9583333333333334,0.5496152288375861
crackforest_0006,ablation_fusion_max,crackforest,0.6814295485636115,0.8105359503711991,0.7269244801167457,0.9158814065732016,0.8105359503711991
crackforest_0007,ablation_fusion_max,crackforest,0.4710939179024285,0.6404674945215486,0.4963768115942029,0.9024289831206258,0.6404674945215485
crackforest_0008,ablation_fusion_max,crackforest,0.6106176826806621,0.7582403810001254,0.677947108919767,0.8601080466306511,0.7582403810001254
crackforest_0009,ablation_fusion_max,crackforest,0.3231929277171086,0.4885046178031047,0.3242890686146621,0.9896496815286624,0.4885046178031047
crackforest_0010,ablation_fusion_max,crackforest,0.4371797999512076,0.6083856730606009,0.4413793103448276,0.9787001638448936,0.6083856730606009
crackforest_0011,ablation_fusion_max,crackforest,0.5056403450564034,0.6716615249008374,0.516260162601626,0.960907944514502,0.6716615249008374
crackforest_0012,ablation_fusion_max,crackforest,0.2601440067767895,0.4128798063995698,0.2643767217630854,0.9420245398773006,0.4128798063995698
crackforest_0013,ablation_fusion_max,crackforest,0.3678799666574048,0.5378834044281942,0.3913686077446053,0.8597402597402597,0.5378834044281942
crackforest_0014,ablation_fusion_max,crackforest,0.5475564897530215,0.7076400679117147,0.5670748299319728,0.9408577878103838,0.7076400679117146
crackforest_0015,ablation_fusion_max,crackforest,0.3368477967018113,0.503943377148635,0.3393246187363834,0.9787902592301648,0.5039433771486349
crackforest_0016,ablation_fusion_max,crackforest,0.5838762214983714,0.7372750642673522,0.6700934579439253,0.8194285714285714,0.7372750642673521
crackforest_0017,ablation_fusion_max,crackforest,0.3081363882374165,0.4711074334574541,0.3094763544120311,0.9861431870669746,0.4711074334574541
crackforest_0018,ablation_fusion_max,crackforest,0.6179104477611941,0.7638376383763837,0.6334149326805385,0.9618959107806692,0.7638376383763839
crackforest_0019,ablation_fusion_max,crackforest,0.4860795454545454,0.6541770216019881,0.502348796241926,0.9375342465753423,0.6541770216019881
crackforest_0020,ablation_fusion_max,crackforest,0.3711429813124728,0.5413629160063391,0.394275161588181,0.8634984833164813,0.5413629160063391
crackforest_0021,ablation_fusion_max,crackforest,0.1304182990016428,0.2307434320849636,0.5695364238410596,0.1446796579279405,0.2307434320849636
crackforest_0022,ablation_fusion_max,crackforest,0.3072374645222327,0.4700560882938303,0.3258906171600602,0.8429591174561972,0.4700560882938303
crackforest_0023,ablation_fusion_max,crackforest,0.3797752808988764,0.5504885993485342,0.3842000568343279,0.9705671213208902,0.5504885993485342
crackforest_0000,ablation_fusion_mean,crackforest,0.4142635658914729,0.5858364393773295,0.4219835754895767,0.957706093189964,0.5858364393773294
crackforest_0001,ablation_fusion_mean,crackforest,0.4332088480321747,0.604529965925035,0.4413227977758267,0.9592875318066156,0.6045299659250349
crackforest_0002,ablation_fusion_mean,crackforest,0.5967064901517598,0.7474216380182002,0.625169147496617,0.9291101055806938,0.7474216380182002
crackforest_0003,ablation_fusion_mean,crackforest,0.3839058524173028,0.5548149850609055,0.3973008558262014,0.9192688499619192,0.5548149850609055
crackforest_0004,ablation_fusion_mean,crackforest,0.4147527242246437,0.5863253940040289,0.7191860465116279,0.4948989797959592,0.5863253940040289
crackforest_0005,ablation_fusion_mean,crackforest,0.420541987286718,0.5920866698068771,0.4441696113074205,0.8877118644067796,0.5920866698068771
crackforest_0006,ablation_fusion_mean,crackforest,0.6814295485636115,0.8105359503711991,0.7269244801167457,0.9158814065732016,0.8105359503711991
crackforest_0007,ablation_fusion_mean,crackforest,0.4682727468272746,0.6378552593026663,0.4951103024789629,0.8962536023054755,0.6378552593026662
crackforest_0008,ablation_fusion_mean,crackforest,0.6130143928643828,0.7600854593439739,0.6810810810810811,0.8598237133920955,0.7600854593439739
crackforest_0009,ablation_fusion_mean,crackforest,0.4200863930885529,0.5916349809885931,0.4339903309780588,0.929140127388535,0.5916349809885932
crackforest_0010,ablation_fusion_mean,crackforest,0.5444794952681388,0.7050653594771242,0.5631321370309951,0.9426542872747132,0.7050653594771241
crackforest_0011,ablation_fusion_mean,crackforest,0.5058043117744611,0.6718061674008811,0.516249153689912,0.9615384615384616,0.6718061674008811
crackforest_0012,ablation_fusion_mean,crackforest,0.4373219373219373,0.6085232903865213,0.4746607112180038,0.8475460122699386,0.6085232903865213
crackforest_0013,ablation_fusion_mean,crackforest,0.3675,0.5374771480804388,0.3910730121194206,0.8590909090909091,0.5374771480804388
crackforest_0014,ablation_fusion_mean,crackforest,0.5478443743427971,0.7078804347826086,0.5673836101279608,0.9408577878103838,0.7078804347826088
crackforest_0015,ablation_fusion_mean,crackforest,0.4500384319754035,0.6207262125629472,0.4684,0.91987431264729,0.6207262125629472
crackforest_0016,ablation_fusion_mean,crackforest,0.582502543234995,0.7361789663152482,0.6692379616643291,0.818,0.7361789663152482
crackforest_0017,ablation_fusion_mean,crackforest,0.3111638954869358,0.4746376811594203,0.3128214548126378,0.983256351039261,0.4746376811594202
crackforest_0018,ablation_fusion_mean,crackforest,0.6174276335422262,0.7634686346863468,0.633108935128519,0.9614312267657992,0.7634686346863468
crackforest_0019,ablation_fusion_mean,crackforest,0.4856574836694121,0.6537946855285797,0.5020551967116853,0.936986301369863,0.6537946855285797
crackforest_0020,ablation_fusion_mean,crackforest,0.3723264949803579,0.5426208651399491,0.3958236658932714,0.8624873609706775,0.5426208651399492
crackforest_0021,ablation_fusion_mean,crackforest,0.1294073044357386,0.2291596732684346,0.5676274944567627,0.143558110192065,0.2291596732684345
