image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,box+point,crackforest,0.37126083310036345,0.5414882772680938,0.3783475783475784,0.9519713261648746,0.5414882772680938
crackforest_0001,box+point,crackforest,0.4403642773207991,0.6114623699775648,0.45001501050735515,0.9535623409669212,0.6114623699775648
crackforest_0002,box+point,crackforest,0.6193458594293667,0.7649333906317146,0.6679174484052532,0.8949220713926597,0.7649333906317146
crackforest_0003,box+point,crackforest,0.4184219921456623,0.5899823810722375,0.4406015037593985,0.8926123381568926,0.5899823810722375
crackforest_0004,box+point,crackforest,0.0727810650887574,0.13568670711527855,0.8386363636363636,0.07381476295259051,0.13568670711527853
crackforest_0005,box+point,crackforest,0.41731484612783226,0.5888809353376282,0.4446846846846847,0.8714689265536724,0.5888809353376282
crackforest_0006,box+point,crackforest,0.4576432514753474,0.6279221627269166,0.7271627344222625,0.5525166628361297,0.6279221627269166
crackforest_0007,box+point,crackforest,0.4872098531501658,0.655199872591177,0.5342857142857143,0.8468505557842734,0.6551998725911768
crackforest_0008,box+point,crackforest,0.6221579164944192,0.7670744138634047,0.6949896097898869,0.8558430480523174,0.7670744138634048
crackforest_0009,box+point,crackforest,0.42221418234442837,0.5937420503688629,0.43626168224299067,0.929140127388535,0.5937420503688629
crackforest_0010,box+point,crackforest,0.4566174566174566,0.6269559032716927,0.46480358555233325,0.9628618241398144,0.6269559032716928
crackforest_0011,box+point,crackforest,0.508736559139785,0.6743875278396436,0.5213498622589532,0.9546027742749055,0.6743875278396437
crackforest_0012,box+point,crackforest,0.28697075066475763,0.4459631277813096,0.46273087071240104,0.4303680981595092,0.44596312778130964
crackforest_0013,box+point,crackforest,0.3675609004008634,0.5375422773393461,0.41174438687392056,0.7740259740259741,0.5375422773393461
crackforest_0014,box+point,crackforest,0.551231135822081,0.7107014848950333,0.5713501646542262,0.9399548532731377,0.7107014848950334
crackforest_0015,box+point,crackforest,0.45418950665622554,0.624663435648896,0.4752150757886112,0.9112333071484682,0.624663435648896
crackforest_0016,box+point,crackforest,0.2886002886002886,0.4479283314669653,0.6458557588805167,0.34285714285714286,0.4479283314669653
crackforest_0017,box+point,crackforest,0.3127059685097034,0.47642956764295674,0.3140860610518573,0.9861431870669746,0.4764295676429568
crackforest_0018,box+point,crackforest,0.6545161290322581,0.7911873659582764,0.6815586160564326,0.9428438661710037,0.7911873659582765
crackforest_0019,box+point,crackforest,0.49038737446197994,0.6580670003850597,0.5072721875927575,0.9364383561643835,0.6580670003850597
crackforest_0020,box+point,crackforest,0.37128011336797356,0.5415087840165346,0.4106583072100313,0.7947421638018201,0.5415087840165346
crackforest_0021,box+point,crackforest,0.0,0.0,0.0,0.0,0.0
crackforest_0022,box+point,crackforest,0.3178861788617886,0.4824182603331277,0.3531005418422637,0.7611940298507462,0.4824182603331277
crackforest_0023,box+point,crackforest,0.3914943198368774,0.5626962528783755,0.3971631205673759,0.964824120603015,0.5626962528783755
