image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,box+text,crackforest,0.42025316455696204,0.5918003565062389,0.4293566117038474,0.9519713261648746,0.5918003565062389
crackforest_0001,box+text,crackforest,0.4403642773207991,0.6114623699775648,0.45001501050735515,0.9535623409669212,0.6114623699775648
crackforest_0002,box+text,crackforest,0.6193458594293667,0.7649333906317146,0.6679174484052532,0.8949220713926597,0.7649333906317146
crackforest_0003,box+text,crackforest,0.4184219921456623,0.5899823810722375,0.4406015037593985,0.8926123381568926,0.5899823810722375
crackforest_0004,box+text,crackforest,0.1483625836801158,0.25838979045218213,0.6083086053412463,0.16403280656131225,0.25838979045218213
crackforest_0005,box+text,crackforest,0.41731484612783226,0.5888809353376282,0.4446846846846847,0.8714689265536724,0.5888809353376282
crackforest_0006,box+text,crackforest,0.4576432514753474,0.6279221627269166,0.7271627344222625,0.5525166628361297,0.6279221627269166
crackforest_0007,box+text,crackforest,0.34542936288088644,0.5134856907556105,0.5135914332784185,0.5133799917661589,0.5134856907556105
crackforest_0008,box+text,crackforest,0.6221579164944192,0.7670744138634047,0.6949896097898869,0.8558430480523174,0.7670744138634048
crackforest_0009,box+text,crackforest,0.42221418234442837,0.5937420503688629,0.43626168224299067,0.929140127388535,0.5937420503688629
crackforest_0010,box+text,crackforest,0.5531361715957102,0.7122829043732999,0.5773405698778833,0.9295466957946478,0.7122829043732999
crackforest_0011,box+text,crackforest,0.508736559139785,0.6743875278396436,0.5213498622589532,0.9546027742749055,0.6743875278396437
crackforest_0012,box+text,crackforest,0.25861767279090114,0.41095509523147505,0.2656839834621607,0.9067484662576687,0.410955095231475
crackforest_0013,box+text,crackforest,0.3756168359941945,0.5461067735809243,0.4045014066895905,0.8402597402597403,0.5461067735809243
crackforest_0014,box+text,crackforest,0.551231135822081,0.7107014848950333,0.5713501646542262,0.9399548532731377,0.7107014848950334
crackforest_0015,box+text,crackforest,0.45418950665622554,0.624663435648896,0.4752150757886112,0.9112333071484682,0.624663435648896
crackforest_0016,box+text,crackforest,0.5900822867042009,0.7422034590766716,0.7090814467863649,0.7785714285714286,0.7422034590766717
crackforest_0017,box+text,crackforest,0.3180456757768626,0.4826019031387587,0.3200226031267659,0.98094688221709,0.4826019031387587
crackforest_0018,box+text,crackforest,0.6545161290322581,0.7911873659582764,0.6815586160564326,0.9428438661710037,0.7911873659582765
crackforest_0019,box+text,crackforest,0.49038737446197994,0.6580670003850597,0.5072721875927575,0.9364383561643835,0.6580670003850597
crackforest_0020,box+text,crackforest,0.37128011336797356,0.5415087840165346,0.4106583072100313,0.7947421638018201,0.5415087840165346
crackforest_0021,box+text,crackforest,0.12940730443573867,0.2291596732684346,0.5676274944567627,0.14355811019206505,0.22915967326843456
crackforest_0022,box+text,crackforest,0.3178861788617886,0.4824182603331277,0.3531005418422637,0.7611940298507462,0.4824182603331277
crackforest_0023,box+text,crackforest,0.3914943198368774,0.5626962528783755,0.3971631205673759,0.964824120603015,0.5626962528783755
