image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,yolov8seg,deepcrack,0.2448509485094851,0.39338195275933385,0.3343200740055504,0.4777895293495505,0.39338195275933385
deepcrack_0001,yolov8seg,deepcrack,0.34099095493476345,0.5085656300364114,0.5665647027530256,0.4613385315139701,0.5085656300364113
deepcrack_0002,yolov8seg,deepcrack,0.2839423148770829,0.44229761974044113,0.4939555440010399,0.40042149631190727,0.44229761974044113
deepcrack_0003,yolov8seg,deepcrack,0.1571338780641106,0.27159152634437805,0.3410059676044331,0.2256572266726842,0.27159152634437805
deepcrack_0004,yolov8seg,deepcrack,0.41557115507338865,0.5871427283382923,0.7222715173025732,0.49460732188971596,0.5871427283382923
deepcrack_0005,yolov8seg,deepcrack,0.20518092105263158,0.3404981235073354,0.3613323678493845,0.32193548387096776,0.3404981235073354
deepcrack_0006,yolov8seg,deepcrack,0.42739193783389995,0.5988431439265056,0.5944607070479622,0.603290676416819,0.5988431439265057
deepcrack_0007,yolov8seg,deepcrack,0.3868603230623049,0.5578937065674856,0.5747126436781609,0.5420311905667554,0.5578937065674856
deepcrack_0008,yolov8seg,deepcrack,0.38366825415263095,0.5545668233713902,0.5848087818696884,0.5272988505747126,0.5545668233713902
deepcrack_0009,yolov8seg,deepcrack,0.2047265002655337,0.33987216222173244,0.29259962049335864,0.40536277602523657,0.3398721622217324
deepcrack_0010,yolov8seg,deepcrack,0.25526711813393527,0.40671362205904393,0.3087599544937429,0.5956979806848113,0.4067136220590439
deepcrack_0011,yolov8seg,deepcrack,0.5091333074232414,0.6747360288436776,0.6499627883899777,0.7014725568942436,0.6747360288436776
deepcrack_0012,yolov8seg,deepcrack,0.522926751422948,0.6867392025707749,0.7850896458092081,0.6102868140054631,0.6867392025707748
deepcrack_0013,yolov8seg,deepcrack,0.5314367816091954,0.6940368521784817,0.7135030864197531,0.6756045882954629,0.6940368521784817
deepcrack_0014,yolov8seg,deepcrack,0.36571037826749137,0.5355606636473292,0.4912119567486327,0.5887120984689282,0.5355606636473293
deepcrack_0015,yolov8seg,deepcrack,0.34633326473211223,0.514483707421467,0.5170789163722026,0.5119144189819509,0.514483707421467
deepcrack_0016,yolov8seg,deepcrack,0.4235461781778998,0.5950578698051472,0.6143490975093274,0.5769412878787878,0.5950578698051473
deepcrack_0017,yolov8seg,deepcrack,0.4731710308456491,0.6423843816342671,0.6829527349973447,0.6063654223968565,0.6423843816342671
deepcrack_0018,yolov8seg,deepcrack,0.43047610855447077,0.601864101022249,0.5977663640707119,0.6060184063938,0.601864101022249
deepcrack_0019,yolov8seg,deepcrack,0.4364019919767603,0.6076321174912724,0.7084947504351243,0.5319086157477659,0.6076321174912723
deepcrack_0020,yolov8seg,deepcrack,0.4169297643559826,0.588497432750993,0.6741639538324948,0.5221477279239012,0.588497432750993
deepcrack_0021,yolov8seg,deepcrack,0.4292594347070898,0.6006739214494835,0.693760367487559,0.5296123124878239,0.6006739214494834
deepcrack_0022,yolov8seg,deepcrack,0.44359266768035144,0.6145676375499217,0.5492221205386325,0.6975624335812965,0.6145676375499218
deepcrack_0023,yolov8seg,deepcrack,0.43612858487295064,0.6073670414568532,0.6603915097877447,0.562224634442245,0.6073670414568532
deepcrack_0024,yolov8seg,deepcrack,0.5193163193631468,0.6836184311912468,0.7716795685831086,0.6135970675703714,0.6836184311912468
deepcrack_0025,yolov8seg,deepcrack,0.34036788820761443,0.5078723404255319,0.5402897238569488,0.47912484945804895,0.5078723404255319
deepcrack_0026,yolov8seg,deepcrack,0.4837611824192921,0.6520741857264565,0.6931865682039849,0.6155654540955209,0.6520741857264565
deepcrack_0027,yolov8seg,deepcrack,0.14523200584581658,0.2536289679374701,0.27797202797202797,0.2332062188325022,0.2536289679374701
deepcrack_0028,yolov8seg,deepcrack,0.1772748459267699,0.301161358437445,0.34663291139240504,0.26623629151435013,0.30116135843744496
deepcrack_0029,yolov8seg,deepcrack,0.532075027929676,0.6945809026711698,0.8879403395152585,0.5703750393948944,0.6945809026711699
deepcrack_0030,yolov8seg,deepcrack,0.5231544274365433,0.6869355043887546,0.9035388605371036,0.5541018931814684,0.6869355043887547
deepcrack_0031,yolov8seg,deepcrack,0.6812186196919411,0.810386717959101,0.8876691062319805,0.745483330229093,0.8103867179591011
deepcrack_0032,yolov8seg,deepcrack,0.48990414032225166,0.6576317590691307,0.6062594649167087,0.7185163027221059,0.6576317590691307
deepcrack_0033,yolov8seg,deepcrack,0.4104100106496273,0.5819726285983955,0.5473104917450736,0.6213220475614671,0.5819726285983954
deepcrack_0034,yolov8seg,deepcrack,0.3379899633798996,0.5052204764318297,0.501610305958132,0.5088829895854605,0.5052204764318297
deepcrack_0035,yolov8seg,deepcrack,0.39008311837202636,0.5612371134020618,0.5092609915809168,0.6250287026406429,0.5612371134020618
deepcrack_0036,yolov8seg,deepcrack,0.622614383783201,0.7674212554822133,0.8050469374477182,0.7331555781276452,0.7674212554822132
deepcrack_0037,yolov8seg,deepcrack,0.5918401332223148,0.7435924259859817,0.8797963008805744,0.6439072367739932,0.7435924259859817
deepcrack_0038,yolov8seg,deepcrack,0.4383721472908013,0.609539260220636,0.8768261376896149,0.46713912719134654,0.609539260220636
deepcrack_0039,yolov8seg,deepcrack,0.40790827927906365,0.5794529164754084,0.8818172410224568,0.4314976579313837,0.5794529164754085
deepcrack_0040,yolov8seg,deepcrack,0.3167307692307692,0.48108660727325836,0.45185185185185184,0.514366021236727,0.48108660727325836
deepcrack_0041,yolov8seg,deepcrack,0.6786037416455069,0.8085335744340508,0.8852802314955833,0.744032,0.8085335744340508
deepcrack_0042,yolov8seg,deepcrack,0.8065225977543306,0.8929006465315301,0.9241312429287215,0.8637118946191727,0.8929006465315301
deepcrack_0043,yolov8seg,deepcrack,0.48870602529408513,0.6565514171242024,0.6544150273628162,0.6587018013994342,0.6565514171242025
deepcrack_0044,yolov8seg,deepcrack,0.7397549978053549,0.8504128440366973,0.9039005363237446,0.8029016890428757,0.8504128440366973
deepcrack_0045,yolov8seg,deepcrack,0.6634082763115021,0.7976493633692459,0.7570180330916527,0.8428896708755951,0.7976493633692457
deepcrack_0046,yolov8seg,deepcrack,0.35253787459913744,0.5212983402828878,0.4682726204465335,0.5878664945602066,0.5212983402828878
deepcrack_0047,yolov8seg,deepcrack,0.30657023780338316,0.4692747912562154,0.42296634534077454,0.5269700800674252,0.4692747912562154
deepcrack_0048,yolov8seg,deepcrack,0.3943387018057589,0.5656282814140707,0.5182809493264914,0.6224961479198767,0.5656282814140706
deepcrack_0049,yolov8seg,deepcrack,0.42930903568716783,0.6007224819379515,0.5984335309060118,0.6030290102389079,0.6007224819379514
deepcrack_0050,yolov8seg,deepcrack,0.45905834186284544,0.6292528937215013,0.5905200789993417,0.6734234234234234,0.6292528937215013
deepcrack_0051,yolov8seg,deepcrack,0.08354239839438034,0.15420236165779116,0.15495579339227547,0.1534562211981567,0.15420236165779116
deepcrack_0052,yolov8seg,deepcrack,0.5411383868357162,0.7022580080518117,0.6168511685116851,0.81511580658269,0.7022580080518117
deepcrack_0053,yolov8seg,deepcrack,0.5963322091062394,0.7471279545754654,0.6759856630824372,0.8350059031877214,0.7471279545754655
deepcrack_0054,yolov8seg,deepcrack,0.5429726996966633,0.7038007863695938,0.6699101796407185,0.7413031474323578,0.7038007863695938
deepcrack_0055,yolov8seg,deepcrack,0.4284610232366428,0.5998917944093778,0.5968992248062015,0.6029145218589139,0.5998917944093779
deepcrack_0056,yolov8seg,deepcrack,0.12143514259429623,0.2165709598031173,0.2533589251439539,0.18911174785100288,0.21657095980311733
deepcrack_0057,yolov8seg,deepcrack,0.006281078251766554,0.012483745123537062,0.015424164524421594,0.010484927916120577,0.01248374512353706
deepcrack_0058,yolov8seg,deepcrack,0.033094098883572565,0.06406792744114241,0.076076993583868,0.05533333333333333,0.06406792744114241
deepcrack_0059,yolov8seg,deepcrack,0.4266399599399099,0.5981045981045982,0.5748987854251012,0.6232626188734455,0.598104598104598
deepcrack_0060,yolov8seg,deepcrack,0.468689094144564,0.6382414031848603,0.6619195787458114,0.616198752228164,0.6382414031848603
deepcrack_0061,yolov8seg,deepcrack,0.5579856115107914,0.7162910971555227,0.6747477090824731,0.7632856580501246,0.7162910971555227
deepcrack_0062,yolov8seg,deepcrack,0.2598485261265188,0.41250756854943343,0.4043238660449343,0.4210293987816721,0.41250756854943343
deepcrack_0063,yolov8seg,deepcrack,0.40570522979397783,0.5772266065388951,0.5615512854259893,0.5938021896455743,0.5772266065388951
deepcrack_0064,yolov8seg,deepcrack,0.55602793805041,0.7146760343481655,0.6972581873571972,0.732986389111289,0.7146760343481654
deepcrack_0065,yolov8seg,deepcrack,0.4431469485168769,0.6141397436654658,0.6453574975173784,0.5858028169014085,0.6141397436654658
deepcrack_0066,yolov8seg,deepcrack,0.25936546110443065,0.41189864120455383,0.44122738001573564,0.3862258953168044,0.4118986412045537
deepcrack_0067,yolov8seg,deepcrack,0.5326655373057376,0.6950838579460811,0.7712488002559454,0.6326102169349195,0.695083857946081
deepcrack_0068,yolov8seg,deepcrack,0.3980176552578597,0.5694029024038995,0.5810535835405833,0.5582102519548219,0.5694029024038993
deepcrack_0069,yolov8seg,deepcrack,0.08437200383509108,0.15561450044208666,0.17331363860167406,0.14119534697152025,0.15561450044208666
deepcrack_0070,yolov8seg,deepcrack,0.40686090929518387,0.5783953575041261,0.6976624711019779,0.4939528962444303,0.5783953575041261
deepcrack_0071,yolov8seg,deepcrack,0.439524358860591,0.6106522007150783,0.7209606986899564,0.5296193327630453,0.6106522007150782
deepcrack_0072,yolov8seg,deepcrack,0.3905822069087375,0.5617534942820839,0.6965495509689618,0.4706696476099223,0.5617534942820839
deepcrack_0073,yolov8seg,deepcrack,0.14394124847001225,0.2516584635138027,0.6629086809470124,0.15530903328050713,0.25165846351380267
deepcrack_0074,yolov8seg,deepcrack,0.36850358422939067,0.5385496807988214,0.7429990966576332,0.42233632862644416,0.5385496807988214
deepcrack_0075,yolov8seg,deepcrack,0.15958202292786852,0.2752405949256343,0.6665254237288135,0.17342888643880927,0.2752405949256343
deepcrack_0076,yolov8seg,deepcrack,0.33743523316062174,0.5046004842615012,0.816401149125098,0.3651442588482654,0.5046004842615012
deepcrack_0077,yolov8seg,deepcrack,0.23617208077260754,0.3821022727272727,0.6922285126093669,0.26388071414557585,0.38210227272727276
deepcrack_0078,yolov8seg,deepcrack,0.4047294224647567,0.5762382648106184,0.5905773059057731,0.5625790139064475,0.5762382648106184
