dataset,method,n,iou_mean,iou_std,dice_mean,dice_std,precision_mean,recall_mean,f1_mean
crackforest,ablation_fusion_max,24,0.4276016094280724,0.13134746972862954,0.5874867143295256,0.13218149006688484,0.47570701669740406,0.8810523638170963,0.5874867143295256
crackforest,ablation_fusion_mean,24,0.45354261847064753,0.1214652692521549,0.6143102103334329,0.12281427134782799,0.506613474036938,0.864051040469076,0.6143102103334329
crackforest,ablation_no_alignment,24,0.2911053867028865,0.23296587000996707,0.39826636764568857,0.3063155242662312,0.3565123976119877,0.5600716924866159,0.39826636764568857
crackforest,ablation_no_boundary,24,0.4215328535566239,0.128767163776343,0.5813071699314323,0.1367031802952444,0.508768341393406,0.7929514031414632,0.5813071699314323
crackforest,ablation_no_detection,24,0.4361647998749499,0.11739594303758112,0.5980640192018931,0.12030923880699478,0.5175031961015062,0.8057105542799013,0.5980640192018931
crackforest,ablation_no_stability,24,0.4347601341691402,0.13972345629241328,0.5926906624224285,0.14448203265604082,0.5105674541272339,0.8166904984521052,0.5926906624224285
crackforest,ampf,24,0.42504920121466966,0.13107027961515338,0.5844207573650749,0.13869542529968165,0.5127461724788178,0.7919891376042626,0.5844207573650749
crackforest,box,24,0.3438725844625652,0.19221384088396623,0.47860654759439686,0.24425090986983175,0.35969665935038725,0.8132383808983598,0.47860654759439697
crackforest,box+point,24,0.40753711494371586,0.1522261652986245,0.560700911683754,0.17997489519485807,0.49290795288013206,0.7718663274077401,0.5607009116837539
crackforest,box+text,24,0.4281722792055165,0.1366579773164188,0.5865255609298696,0.14384758686000496,0.5072839460210635,0.8068714347674831,0.5865255609298696
crackforest,point+text,24,0.4257011484883562,0.1265857427985966,0.5865132405556366,0.12655742771249553,0.4948833665975696,0.8331352817002182,0.5865132405556365
crackforest,point,24,0.11662036872328518,0.1612866228313118,0.17676744999497984,0.2322395457152404,0.13757614738594248,0.7760539806664165,0.17676744999497984
crackforest,deeplabv3p,24,0.4479615890816451,0.107456096575529,0.611175479195222,0.10681617093273488,0.6204693715200832,0.6347612964418883,0.611175479195222
crackforest,unet,24,0.46264834270686456,0.08961369612399243,0.6275300813580995,0.08694716626395664,0.6469364111175987,0.629952691199127,0.6275300813580995
crackforest,text,24,0.43549130855822743,0.10200278862921382,0.599980122526408,0.09978377009072703,0.4525015561105799,0.9237098628691424,0.599980122526408
crackforest,yolov8seg,24,0.30686797994758147,0.1314346056812846,0.4533167017567812,0.17048523224848164,0.5181764674950016,0.446460809024065,0.4533167017567812
deepcrack,ablation_fusion_max,237,0.6664458781731113,0.1659452953680212,0.7866176818663891,0.13484124099296563,0.7659834665603282,0.8693092227072344,0.7866176818663891
deepcrack,ablation_fusion_mean,237,0.6790906226378325,0.14820885909249304,0.7985457034558912,0.11881539027807879,0.8073211281427861,0.8364892582173267,0.798545703455891
deepcrack,ablation_no_alignment,237,0.4438687453439914,0.3468573736635512,0.523591893241209,0.3844958878469056,0.6369042382020464,0.5189949209124914,0.523591893241209
deepcrack,ablation_no_boundary,237,0.6580209745907127,0.16775693373121892,0.7798200754774821,0.1396321198199209,0.8003825979065861,0.8135690639438736,0.7798200754774821
deepcrack,ablation_no_detection,237,0.656525795073693,0.16669738399194417,0.7789781654193919,0.13788406297499822,0.8016555329777779,0.8115420453273473,0.7789781654193919
deepcrack,ablation_no_stability,237,0.66689877519956,0.1596640434003996,0.7877902117525144,0.1311368003474941,0.8125429041445634,0.8141022334983944,0.7877902117525144
deepcrack,ampf,237,0.6623728955587332,0.16254344028488707,0.7839741575796983,0.1341636657516181,0.8082049279613757,0.812678088723959,0.7839741575796983
deepcrack,box,237,0.540847724319346,0.29357518454242293,0.6440934118251856,0.3088944802339109,0.6603369727289925,0.7516126350718463,0.6440934118251856
deepcrack,box+point,237,0.6204038753676284,0.22394641728858528,0.7362979645332435,0.21763774177136191,0.7907149704285175,0.7553371763606853,0.7362979645332435
deepcrack,box+text,237,0.6653617607261059,0.16295932132822918,0.7860269209957774,0.13520999093543593,0.8177868463290119,0.8027408151452425,0.7860269209957774
deepcrack,point+text,237,0.6530758373381871,0.16964534205520732,0.7758776205866699,0.14090602030933744,0.7904883393319273,0.8216253063290602,0.7758776205866699
deepcrack,point,237,0.31292527064713666,0.32777636231359814,0.3860072494961239,0.36784123308219213,0.3584242975488323,0.6362981842370751,0.3860072494961239
deepcrack,text,237,0.6658177737015801,0.1603734462071104,0.7866272525166709,0.13486798336313974,0.7441469571419717,0.8853509424218827,0.786627252516671
deepcrack,deeplabv3p,237,0.6698494932197478,0.1554017242920696,0.7906233968729477,0.12712272017421986,0.8351387144655066,0.7814626211403264,0.7906233968729477
deepcrack,unet,237,0.6661401726936126,0.1685219818408222,0.7855214175558292,0.14185943307259397,0.8121558926929301,0.8042478341965076,0.7855214175558292
deepcrack,yolov8seg,237,0.4197507020856723,0.1884641002829086,0.5651745642979707,0.201371008428151,0.6123910618281926,0.5456955085001864,0.5651745642979709
