image_id,method,dataset,protocol,iou,dice,precision,recall,f1
deepcrack_0000,point_v2,deepcrack,oracle_gt_prompt,0.5389107898963352,0.7003795066413663,0.5461675051790471,0.9759386567953464,0.7003795066413664
deepcrack_0001,point_v2,deepcrack,oracle_gt_prompt,0.5777111015859409,0.7323407954792437,0.734896401308615,0.7298029023175222,0.7323407954792436
deepcrack_0002,point_v2,deepcrack,oracle_gt_prompt,0.7063285320257432,0.827892775358089,0.7213050622017056,0.9714436248682824,0.827892775358089
deepcrack_0003,point_v2,deepcrack,oracle_gt_prompt,0.04243396633061137,0.08141324573292597,0.04243457603739607,0.9996615141599909,0.08141324573292595
deepcrack_0004,point_v2,deepcrack,oracle_gt_prompt,0.03558063150184827,0.06871629387322076,0.03705381085751743,0.47227707732037066,0.06871629387322076
deepcrack_0005,point_v2,deepcrack,oracle_gt_prompt,0.016952789699570814,0.03334036716606879,0.8876404494382022,0.01698924731182796,0.03334036716606879
deepcrack_0006,point_v2,deepcrack,oracle_gt_prompt,0.42582368655387354,0.5973020234823883,0.6586776859504132,0.5463893967093236,0.5973020234823881
deepcrack_0007,point_v2,deepcrack,oracle_gt_prompt,0.759119496855346,0.8630675723989989,0.8141652613827993,0.9182198554583492,0.8630675723989989
deepcrack_0008,point_v2,deepcrack,oracle_gt_prompt,0.8061499220631997,0.8926722108896908,0.8776612156741747,0.908205619412516,0.892672210889691
deepcrack_0009,point_v2,deepcrack,oracle_gt_prompt,0.6166932482721956,0.76290693850707,0.7184886961907712,0.8131791097090781,0.7629069385070701
deepcrack_0010,point_v2,deepcrack,oracle_gt_prompt,0.09693043150081772,0.1767303171053386,0.10164237187520613,0.6764705882352942,0.17673031710533862
deepcrack_0011,point_v2,deepcrack,oracle_gt_prompt,0.7038693369628621,0.8262010726920005,0.7199681782020684,0.9692101740294511,0.8262010726920003
deepcrack_0012,point_v2,deepcrack,oracle_gt_prompt,0.08291079068293455,0.15312580019753447,0.12609699769053118,0.19490315371244102,0.15312580019753447
deepcrack_0013,point_v2,deepcrack,oracle_gt_prompt,0.05495670613182541,0.10418760469011726,0.069899857653023,0.20450062102725214,0.10418760469011726
deepcrack_0014,point_v2,deepcrack,oracle_gt_prompt,0.06797594352997359,0.12729864177519423,0.08831284656248788,0.22790953667567296,0.12729864177519423
deepcrack_0015,point_v2,deepcrack,oracle_gt_prompt,0.028852531505637852,0.05608681637477168,0.03156407335034912,0.2514195903467856,0.056086816374771684
deepcrack_0016,point_v2,deepcrack,oracle_gt_prompt,0.3541754091481326,0.5230864580105361,0.5753237900477164,0.47954545454545455,0.5230864580105361
deepcrack_0017,point_v2,deepcrack,oracle_gt_prompt,0.08513300254489102,0.15690795938421226,0.1177002457002457,0.23528487229862474,0.15690795938421223
deepcrack_0018,point_v2,deepcrack,oracle_gt_prompt,0.07664154337644614,0.14237151417377275,0.13579907672015828,0.1496124969726326,0.14237151417377272
deepcrack_0019,point_v2,deepcrack,oracle_gt_prompt,0.011359526329185141,0.022463873693691308,0.01637856108160309,0.03574439386275501,0.022463873693691305
deepcrack_0020,point_v2,deepcrack,oracle_gt_prompt,0.0019853679112184198,0.003962868071331625,0.002268798617113224,0.015643802647412757,0.003962868071331626
deepcrack_0021,point_v2,deepcrack,oracle_gt_prompt,0.7345527743742342,0.8469650335536606,0.8785721762797027,0.8175530878628482,0.8469650335536607
deepcrack_0022,point_v2,deepcrack,oracle_gt_prompt,0.05801091019294878,0.10966032511398086,0.19497495968084202,0.07628188097768332,0.10966032511398086
deepcrack_0023,point_v2,deepcrack,oracle_gt_prompt,0.019715181858915666,0.03866801673576219,0.02758846300637915,0.06461911755315752,0.03866801673576218
deepcrack_0024,point_v2,deepcrack,oracle_gt_prompt,0.007223130792133182,0.01434266265599467,0.008441765296870789,0.04765198146483159,0.01434266265599467
deepcrack_0025,point_v2,deepcrack,oracle_gt_prompt,0.4676861931916364,0.6373108847942545,0.7707532393564004,0.5432557205941388,0.6373108847942544
deepcrack_0026,point_v2,deepcrack,oracle_gt_prompt,0.3896250642013354,0.560762862211709,0.6964744766801322,0.46931452610739915,0.560762862211709
deepcrack_0027,point_v2,deepcrack,oracle_gt_prompt,0.34115997897319084,0.5087535928926051,0.4586572438162544,0.5711352302728073,0.5087535928926051
deepcrack_0028,point_v2,deepcrack,oracle_gt_prompt,0.07816109082780717,0.14498963372494816,0.6503409795412275,0.08158979544217158,0.14498963372494816
deepcrack_0029,point_v2,deepcrack,oracle_gt_prompt,0.582738130964528,0.7363670838073568,0.9242265587815326,0.6119760479041916,0.7363670838073569
deepcrack_0030,point_v2,deepcrack,oracle_gt_prompt,0.6177315147164394,0.7637009096960284,0.9990877425775418,0.6180801395515879,0.7637009096960284
deepcrack_0031,point_v2,deepcrack,oracle_gt_prompt,0.9239663305892147,0.9604807692307692,0.9927449811170741,0.9302477183833116,0.9604807692307692
deepcrack_0032,point_v2,deepcrack,oracle_gt_prompt,0.05012861249810864,0.09547137731798337,0.05015137753557372,0.9910260245288662,0.09547137731798337
deepcrack_0033,point_v2,deepcrack,oracle_gt_prompt,0.7919208573784007,0.8838792786161207,0.8132407720961734,0.967956469165659,0.8838792786161207
deepcrack_0034,point_v2,deepcrack,oracle_gt_prompt,0.6980905127048564,0.8222064813175137,0.7258089729560732,0.9481315090871962,0.8222064813175137
deepcrack_0035,point_v2,deepcrack,oracle_gt_prompt,0.4621794178119251,0.6321788040260509,0.46641913290378945,0.9807118254879449,0.6321788040260509
deepcrack_0036,point_v2,deepcrack,oracle_gt_prompt,0.00813515122310723,0.01613900916605747,0.02404087786898978,0.012146605722024716,0.016139009166057473
deepcrack_0037,point_v2,deepcrack,oracle_gt_prompt,0.050899621212121215,0.09686866411353909,0.08575303126994256,0.11129516513096593,0.09686866411353909
deepcrack_0038,point_v2,deepcrack,oracle_gt_prompt,0.09374844951624907,0.17142597926920547,0.9754775425916365,0.09396991172448091,0.17142597926920547
deepcrack_0039,point_v2,deepcrack,oracle_gt_prompt,0.06388424057485972,0.12009622501850481,0.6946748728926947,0.06572983922015445,0.12009622501850481
deepcrack_0040,point_v2,deepcrack,oracle_gt_prompt,0.6695421366954214,0.8020667726550079,0.6965025310630465,0.9453466583385384,0.802066772655008
deepcrack_0041,point_v2,deepcrack,oracle_gt_prompt,0.4842143495753241,0.6524857406396476,0.79234672884378,0.554592,0.6524857406396476
deepcrack_0042,point_v2,deepcrack,oracle_gt_prompt,0.11424257674886763,0.2050587172538392,0.1358148202638419,0.4183510075833107,0.2050587172538392
deepcrack_0043,point_v2,deepcrack,oracle_gt_prompt,0.0028874305906108027,0.005758234678263671,0.0033293753346837094,0.021289266041387523,0.005758234678263671
deepcrack_0044,point_v2,deepcrack,oracle_gt_prompt,0.13931650783677174,0.24456155401679025,0.1485548379892427,0.6913815504547424,0.24456155401679025
deepcrack_0045,point_v2,deepcrack,oracle_gt_prompt,0.7982529816899042,0.887809434843531,0.8089887640449438,0.983647277996274,0.8878094348435309
deepcrack_0046,point_v2,deepcrack,oracle_gt_prompt,0.5722852859284644,0.7279662171366299,0.5771681607084999,0.985432417481099,0.7279662171366299
deepcrack_0047,point_v2,deepcrack,oracle_gt_prompt,0.5,0.6666666666666666,0.646662705486235,0.6879477454698694,0.6666666666666667
deepcrack_0048,point_v2,deepcrack,oracle_gt_prompt,0.5374596227987913,0.6991528295493054,0.5393704904318728,0.9934514637904468,0.6991528295493052
deepcrack_0049,point_v2,deepcrack,oracle_gt_prompt,0.7569558101472995,0.8616674429436423,0.7648420704481561,0.986561433447099,0.8616674429436423
deepcrack_0050,point_v2,deepcrack,oracle_gt_prompt,0.7292393579902303,0.8434221146085553,0.7398753894080997,0.9806681681681682,0.8434221146085553
deepcrack_0051,point_v2,deepcrack,oracle_gt_prompt,0.46067898581865063,0.6307737569873492,0.46326707000864303,0.9880184331797235,0.6307737569873493
deepcrack_0052,point_v2,deepcrack,oracle_gt_prompt,0.7499234771962044,0.8570928808815812,0.7524570024570024,0.995530272247054,0.8570928808815812
deepcrack_0053,point_v2,deepcrack,oracle_gt_prompt,0.7905709547500592,0.8830378406985975,0.8002398081534772,0.9849468713105076,0.8830378406985975
deepcrack_0054,point_v2,deepcrack,oracle_gt_prompt,0.7552895917931182,0.860586874467308,0.7697669353082117,0.9757040309221424,0.860586874467308
deepcrack_0055,point_v2,deepcrack,oracle_gt_prompt,0.6650338857948064,0.7988232449423712,0.8992831866436802,0.7185528891466686,0.7988232449423712
deepcrack_0056,point_v2,deepcrack,oracle_gt_prompt,0.43901649951472016,0.6101618705035972,0.576465590484282,0.6480420248328558,0.6101618705035972
deepcrack_0057,point_v2,deepcrack,oracle_gt_prompt,0.4603732162458836,0.6304870715574263,0.4806325922530369,0.9161205766710354,0.6304870715574263
deepcrack_0058,point_v2,deepcrack,oracle_gt_prompt,0.38052155401809473,0.551272166538165,0.38774403470715835,0.9533333333333334,0.551272166538165
deepcrack_0059,point_v2,deepcrack,oracle_gt_prompt,0.05205712326319297,0.0989625413147264,0.052096624521517226,0.9856437454279444,0.0989625413147264
deepcrack_0060,point_v2,deepcrack,oracle_gt_prompt,0.010086716737418816,0.01997198175221811,0.011905271722838423,0.06194295900178253,0.01997198175221811
deepcrack_0061,point_v2,deepcrack,oracle_gt_prompt,0.659967544626139,0.7951571664912017,0.9313017438788093,0.6937409788741635,0.7951571664912018
deepcrack_0062,point_v2,deepcrack,oracle_gt_prompt,0.13661708647881007,0.2403924560065234,0.14123665136693095,0.8068332303345987,0.2403924560065234
deepcrack_0063,point_v2,deepcrack,oracle_gt_prompt,0.0574504703604467,0.10865846102629072,0.060343676496266395,0.5450918537762108,0.10865846102629072
deepcrack_0064,point_v2,deepcrack,oracle_gt_prompt,0.05164659546411199,0.09822043961701668,0.0523691877197177,0.7891646650653856,0.09822043961701668
deepcrack_0065,point_v2,deepcrack,oracle_gt_prompt,0.06172177423286562,0.11626732300458273,0.06329240491141062,0.7132394366197183,0.11626732300458271
deepcrack_0066,point_v2,deepcrack,oracle_gt_prompt,0.3593129559516114,0.5286684782608696,0.5215817694369973,0.5359504132231405,0.5286684782608696
deepcrack_0067,point_v2,deepcrack,oracle_gt_prompt,0.713790396441188,0.8329961445967096,0.7389773112089401,0.9544261721483555,0.8329961445967095
deepcrack_0068,point_v2,deepcrack,oracle_gt_prompt,0.6362233445566778,0.7776729829374947,0.6424422722765264,0.98501303214596,0.7776729829374947
deepcrack_0069,point_v2,deepcrack,oracle_gt_prompt,0.5619335347432024,0.7195357833655706,0.5719016083254493,0.9699157641395909,0.7195357833655707
deepcrack_0070,point_v2,deepcrack,oracle_gt_prompt,0.6522378007714443,0.7895204921070185,0.6662705610106948,0.9687187414749477,0.7895204921070185
deepcrack_0071,point_v2,deepcrack,oracle_gt_prompt,0.6583452211126961,0.7939784946236559,0.6641243344366096,0.9869546621043627,0.7939784946236559
deepcrack_0072,point_v2,deepcrack,oracle_gt_prompt,0.5794137695978187,0.73370738023306,0.5809618491363241,0.995422122857447,0.73370738023306
deepcrack_0073,point_v2,deepcrack,oracle_gt_prompt,0.518278671401713,0.6827187671986792,0.5229763912310287,0.9829635499207607,0.6827187671986791
deepcrack_0074,point_v2,deepcrack,oracle_gt_prompt,0.6879783881134625,0.8151507068551613,0.6973984481971702,0.9807445442875481,0.8151507068551614
deepcrack_0075,point_v2,deepcrack,oracle_gt_prompt,0.5645070773835505,0.7216420884814667,0.5651061173533084,0.9981256890848953,0.7216420884814667
deepcrack_0076,point_v2,deepcrack,oracle_gt_prompt,0.7217428449380606,0.838386344464844,0.7287784679089027,0.9868006074056769,0.838386344464844
deepcrack_0077,point_v2,deepcrack,oracle_gt_prompt,0.5267357512953368,0.6900156112129233,0.5275010377750103,0.9972532862468119,0.6900156112129233
deepcrack_0078,point_v2,deepcrack,oracle_gt_prompt,0.547460595446585,0.707559981892259,0.5511283497884344,0.9879898862199747,0.7075599818922589
deepcrack_0079,point_v2,deepcrack,oracle_gt_prompt,0.7642351492767006,0.866364270760642,0.7870047543581616,0.9635234769111369,0.866364270760642
deepcrack_0080,point_v2,deepcrack,oracle_gt_prompt,0.7553444180522565,0.8606224627875507,0.8407755581668626,0.881429011395134,0.8606224627875507
