method,dataset,protocol,iou,dice,precision,recall,f1
ablation_fusion_max,crackforest,oracle_gt_prompt_gt_alignment,0.40843454546516317,0.5698983751209161,0.4531373006536836,0.8881415496769057,0.569898375120916
ablation_fusion_max,deepcrack,oracle_gt_prompt_gt_alignment,0.6746488718953174,0.7936160561796134,0.763954662139612,0.8799224921216648,0.7936160561796134
ablation_fusion_mean,crackforest,oracle_gt_prompt_gt_alignment,0.45870390664226673,0.6192476183067045,0.514194172022615,0.8550487136849413,0.6192476183067045
ablation_fusion_mean,deepcrack,oracle_gt_prompt_gt_alignment,0.6815288258727116,0.8011699798096742,0.812596694274205,0.833240974955265,0.8011699798096741
ablation_no_alignment,crackforest,oracle_gt_prompt_gt_alignment,0.3506374917661225,0.48466257098642346,0.49149430734772553,0.6534778905373848,0.48466257098642346
ablation_no_alignment,deepcrack,oracle_gt_prompt_gt_alignment,0.4675996471774913,0.5489353026713392,0.6689664229755643,0.543606672348855,0.5489353026713392
ablation_no_boundary,crackforest,oracle_gt_prompt_gt_alignment,0.41221037250384945,0.5717768216342035,0.5062574531482776,0.7749289293320619,0.5717768216342035
ablation_no_boundary,deepcrack,oracle_gt_prompt_gt_alignment,0.6605246904328975,0.7824941481458972,0.8054918024276136,0.8096934686745362,0.7824941481458972
ablation_no_detection,crackforest,oracle_gt_prompt_gt_alignment,0.4087304404548524,0.5668429541302159,0.5024606836541426,0.7746840860750462,0.5668429541302159
ablation_no_detection,deepcrack,oracle_gt_prompt_gt_alignment,0.6639332236822504,0.7844320138084138,0.8126033270084504,0.8076004403802117,0.7844320138084138
ablation_no_stability,crackforest,oracle_gt_prompt_gt_alignment,0.4278583021787971,0.5847791778144503,0.515001607200407,0.7951279214801459,0.5847791778144503
ablation_no_stability,deepcrack,oracle_gt_prompt_gt_alignment,0.6690704871998076,0.7894431148378946,0.8148527680981545,0.8122228912419145,0.7894431148378946
ampf,crackforest,oracle_gt_prompt_gt_alignment,0.4144642915545497,0.5737174305681243,0.508847597733131,0.7743145109814339,0.5737174305681243
ampf,deepcrack,oracle_gt_prompt_gt_alignment,0.667089125190659,0.7880360042170232,0.8126366252991409,0.8105092546638853,0.7880360042170232
box,crackforest,oracle_gt_prompt,0.34387258446256525,0.47860654759439697,0.35969665935038725,0.81323838089836,0.47860654759439697
box,deepcrack,oracle_gt_prompt,0.540847724319346,0.6440934118251855,0.6603369727289925,0.7516126350718463,0.6440934118251855
box+point,crackforest,oracle_gt_prompt_gt_alignment,0.4011702056924826,0.5557296068943833,0.48085704668897883,0.7574250123886701,0.5557296068943833
box+point,deepcrack,oracle_gt_prompt_gt_alignment,0.6465944407260013,0.7644576041841343,0.8078911573070139,0.7811847711596596,0.7644576041841343
deeplabv3plus,crackforest,supervised_train_val_test,0.43837683504506586,0.6003543048315292,0.5911356419684496,0.6656105814917898,0.6003543048315292
deeplabv3plus,deepcrack,supervised_train_val_test,0.6698494932197478,0.7906233968729478,0.8351387144655067,0.7814626211403264,0.7906233968729478
point,crackforest,oracle_gt_prompt,0.3013905523013786,0.4331524119854853,0.3445338085930591,0.7853828203619293,0.4331524119854853
point,deepcrack,oracle_gt_prompt,0.519929588025958,0.6277650490204637,0.6228975503758339,0.7754462738545491,0.6277650490204637
text,crackforest,automatic_text_prompt,0.4354913085582273,0.5999801225264079,0.4525015561105799,0.9237098628691424,0.5999801225264079
text,deepcrack,automatic_text_prompt,0.6658177737015802,0.7866272525166709,0.7441469571419717,0.8853509424218827,0.7866272525166709
text+box,crackforest,oracle_gt_prompt_gt_alignment,0.4281722792055165,0.5865255609298696,0.5072839460210635,0.806871434767483,0.5865255609298697
text+box,deepcrack,oracle_gt_prompt_gt_alignment,0.6653617607261056,0.7860269209957773,0.8177868463290119,0.8027408151452425,0.7860269209957773
text+point,crackforest,oracle_gt_prompt_gt_alignment,0.39721879270801924,0.558034901513205,0.4847824719278613,0.7809696717410283,0.558034901513205
text+point,deepcrack,oracle_gt_prompt_gt_alignment,0.6435410249203579,0.7687509050754519,0.7863698958543534,0.8134436569121349,0.7687509050754517
unet,crackforest,supervised_train_val_test,0.4576152477048024,0.6235982866939752,0.5464185962280345,0.7613697355513507,0.6235982866939752
unet,deepcrack,supervised_train_val_test,0.6661401726936126,0.7855214175558292,0.8121558926929301,0.8042478341965076,0.7855214175558292
yolov8seg,crackforest,supervised_train_val_test,0.30686797994758147,0.4533167017567812,0.5181764674950017,0.446460809024065,0.4533167017567812
yolov8seg,deepcrack,supervised_train_val_test,0.4197507020856722,0.5651745642979709,0.6123910618281926,0.5456955085001866,0.5651745642979709
